symbol,contract_month,expire_Year,expire_Month,expire_Day,tradingYear,tradingMonth,tradingDay_Day,days_to_expire,open,high,low,close,volume,openInterest
BIH11,2011Mar,2011,3,1,2011,3,11,20,389.3,389.3,389.3,389.3,0,0
BIH11,2011Mar,2011,3,1,2011,3,14,17,386.1,386.1,386.1,386.1,0,0
BIH11,2011Mar,2011,3,1,2011,3,15,16,383.9,383.9,383.9,383.9,0,0
BIH11,2011Mar,2011,3,1,2011,3,16,15,378.7,378.7,378.7,378.7,0,0
BIH11,2011Mar,2011,3,1,2011,3,17,14,377.2,377.2,377.2,377.2,0,0
BIH11,2011Mar,2011,3,1,2011,3,18,13,379.96,379.96,379.96,379.96,0,0
BIM11,2011Jun,2011,6,1,2011,3,11,112,388.3,388.3,388.3,388.3,0,0
BIM11,2011Jun,2011,6,1,2011,3,14,109,385.1,385.1,385.1,385.1,0,0
BIM11,2011Jun,2011,6,1,2011,3,15,108,382.9,382.9,376.9,382.9,0,0
BIM11,2011Jun,2011,6,1,2011,3,16,107,377.7,377.7,372.7,377.7,0,0
BIM11,2011Jun,2011,6,1,2011,3,17,106,376.2,378.9,375.6,376.2,0,0
BIM11,2011Jun,2011,6,1,2011,3,18,105,376.0,376.0,376.0,376.0,0,0
BIM11,2011Jun,2011,6,1,2011,3,21,102,380.3,380.9,380.3,380.3,0,0
BIM11,2011Jun,2011,6,1,2011,3,22,101,379.9,379.9,379.9,379.9,0,0
BIM11,2011Jun,2011,6,1,2011,3,23,100,381.1,381.6,378.4,381.1,0,0
BIM11,2011Jun,2011,6,1,2011,3,24,99,383.6,387.8,383.6,383.6,0,0
BIM11,2011Jun,2011,6,1,2011,3,25,98,386.2,390.0,386.2,386.2,0,0
BIM11,2011Jun,2011,6,1,2011,3,28,95,385.7,388.1,383.8,385.0,2,0
BIM11,2011Jun,2011,6,1,2011,3,29,94,385.1,386.8,383.6,385.1,0,0
BIM11,2011Jun,2011,6,1,2011,3,30,93,389.9,391.8,389.9,389.9,0,0
BIM11,2011Jun,2011,6,1,2011,3,31,92,389.9,390.6,388.4,389.9,0,0
BIM11,2011Jun,2011,6,1,2011,4,1,91,390.6,395.1,390.6,390.6,0,0
BIM11,2011Jun,2011,6,1,2011,4,4,88,392.6,394.3,392.6,392.6,0,0
BIM11,2011Jun,2011,6,1,2011,4,5,87,393.0,396.5,392.3,393.0,0,0
BIM11,2011Jun,2011,6,1,2011,4,6,86,394.0,394.3,392.3,394.0,0,0
BIM11,2011Jun,2011,6,1,2011,4,7,85,392.6,394.8,389.9,392.6,0,0
BIM11,2011Jun,2011,6,1,2011,4,8,84,390.9,393.3,388.4,390.9,0,0
BIM11,2011Jun,2011,6,1,2011,4,11,81,389.9,391.6,389.1,389.9,0,0
BIM11,2011Jun,2011,6,1,2011,4,12,80,389.3,390.6,388.0,389.3,0,0
BIM11,2011Jun,2011,6,1,2011,4,13,79,390.7,391.8,388.2,390.7,0,0
BIM11,2011Jun,2011,6,1,2011,4,14,78,390.2,390.2,386.6,390.2,0,0
BIM11,2011Jun,2011,6,1,2011,4,15,77,393.7,393.7,389.8,393.7,0,0
BIM11,2011Jun,2011,6,1,2011,4,18,74,388.7,388.7,385.5,388.7,0,0
BIM11,2011Jun,2011,6,1,2011,4,19,73,389.6,389.6,387.1,389.6,0,0
BIM11,2011Jun,2011,6,1,2011,4,20,72,395.6,397.7,395.6,395.6,0,0
BIM11,2011Jun,2011,6,1,2011,4,21,71,398.0,398.7,398.0,398.0,0,0
BIM11,2011Jun,2011,6,1,2011,4,25,67,397.5,398.3,396.9,397.5,0,0
BIM11,2011Jun,2011,6,1,2011,4,26,66,398.0,400.2,398.0,398.0,0,0
BIM11,2011Jun,2011,6,1,2011,4,27,65,400.5,403.9,400.5,400.5,0,0
BIM11,2011Jun,2011,6,1,2011,4,28,64,404.3,405.7,404.3,404.3,0,0
BIM11,2011Jun,2011,6,1,2011,4,29,63,405.2,406.3,405.0,405.2,0,0
BIM11,2011Jun,2011,6,1,2011,5,2,60,408.1,409.6,405.9,406.4,11,5
BIM11,2011Jun,2011,6,1,2011,5,3,59,406.0,406.8,402.6,404.4,62,11
BIM11,2011Jun,2011,6,1,2011,5,4,58,405.2,406.0,400.3,401.3,18,9
BIM11,2011Jun,2011,6,1,2011,5,5,57,401.7,405.7,400.2,401.7,10,9
BIM11,2011Jun,2011,6,1,2011,5,6,56,402.1,406.7,401.4,402.1,11,4
BIM11,2011Jun,2011,6,1,2011,5,9,53,402.6,404.3,401.4,402.6,0,4
BIM11,2011Jun,2011,6,1,2011,5,10,52,405.8,408.6,405.8,405.8,0,4
BIM11,2011Jun,2011,6,1,2011,5,11,51,405.0,406.8,402.3,405.0,0,4
BIM11,2011Jun,2011,6,1,2011,5,12,50,406.3,408.1,402.4,406.3,0,4
BIM11,2011Jun,2011,6,1,2011,5,13,49,405.1,408.3,404.2,405.1,0,4
BIM11,2011Jun,2011,6,1,2011,5,16,46,400.4,400.4,398.9,400.4,0,4
BIM11,2011Jun,2011,6,1,2011,5,17,45,400.3,400.9,397.3,400.3,0,4
BIM11,2011Jun,2011,6,1,2011,5,18,44,403.1,404.7,400.1,403.1,0,4
BIM11,2011Jun,2011,6,1,2011,5,19,43,403.7,406.2,403.7,403.7,0,4
BIM11,2011Jun,2011,6,1,2011,5,20,42,402.5,404.2,400.4,402.5,0,4
BIM11,2011Jun,2011,6,1,2011,5,23,39,397.7,399.9,396.6,399.5,15,7
BIM11,2011Jun,2011,6,1,2011,5,24,38,398.5,398.5,395.9,398.5,0,7
BIM11,2011Jun,2011,6,1,2011,5,25,37,394.3,397.9,393.9,395.8,7,12
BIM11,2011Jun,2011,6,1,2011,5,26,36,398.8,400.7,398.8,398.8,7,12
BIM11,2011Jun,2011,6,1,2011,5,27,35,401.3,402.4,400.0,401.1,1,12
BIM11,2011Jun,2011,6,1,2011,5,31,31,402.3,403.8,402.0,403.8,1,11
BIM11,2011Jun,2011,6,1,2011,6,1,30,402.8,402.9,394.5,395.9,20,9
BIM11,2011Jun,2011,6,1,2011,6,2,29,395.9,396.2,391.8,395.9,0,9
BIM11,2011Jun,2011,6,1,2011,6,3,28,389.5,389.5,389.5,389.5,0,9
BIM11,2011Jun,2011,6,1,2011,6,6,25,384.1,384.6,384.1,384.1,0,9
BIM11,2011Jun,2011,6,1,2011,6,7,24,388.6,389.0,384.9,385.6,12,14
