symbol,contract_month,expire_Year,expire_Month,expire_Day,tradingYear,tradingMonth,tradingDay_Day,days_to_expire,open,high,low,close,volume,openInterest
BKU16,2016Sep,2016,9,1,2016,8,29,33,159.9,159.95,159.9,159.9,0,0
BKU16,2016Sep,2016,9,1,2016,8,30,32,158.5,159.35,158.15,159.35,2,0
BKU16,2016Sep,2016,9,1,2016,8,31,31,159.2,159.75,158.65,159.65,1,1
BKU16,2016Sep,2016,9,1,2016,9,1,30,159.25,159.25,158.6,159.25,0,1
BKU16,2016Sep,2016,9,1,2016,9,2,29,160.3,161.95,159.7,160.4,11,9
BKU16,2016Sep,2016,9,1,2016,9,6,25,161.1,162.0,160.05,162.0,5,14
BKU16,2016Sep,2016,9,1,2016,9,7,24,161.35,162.65,161.3,162.6,1,15
BKU16,2016Sep,2016,9,1,2016,9,8,23,161.15,161.15,160.65,160.75,2,15
BKU16,2016Sep,2016,9,1,2016,9,9,22,156.45,156.6,154.35,154.35,8,15
BKU16,2016Sep,2016,9,1,2016,9,12,19,154.65,156.9,153.8,155.85,22,29
BKU16,2016Sep,2016,9,1,2016,9,13,18,155.1,155.1,152.0,152.0,37,20
BKU16,2016Sep,2016,9,1,2016,9,14,17,153.1,153.8,152.3,152.3,2,18
BKU16,2016Sep,2016,9,1,2016,9,15,16,152.65,153.85,152.15,153.4,15,0
BKZ16,2016Dec,2016,12,1,2016,8,29,124,159.3,159.3,159.3,159.3,0,0
BKZ16,2016Dec,2016,12,1,2016,8,30,123,158.75,158.75,158.75,158.75,0,0
BKZ16,2016Dec,2016,12,1,2016,8,31,122,159.05,159.05,159.05,159.05,0,0
BKZ16,2016Dec,2016,12,1,2016,9,1,121,158.65,158.65,158.65,158.65,0,0
BKZ16,2016Dec,2016,12,1,2016,9,2,120,159.8,159.8,159.8,159.8,0,0
BKZ16,2016Dec,2016,12,1,2016,9,6,116,161.4,161.4,161.4,161.4,0,0
BKZ16,2016Dec,2016,12,1,2016,9,7,115,162.0,162.0,162.0,162.0,0,0
BKZ16,2016Dec,2016,12,1,2016,9,8,114,160.15,160.15,160.15,160.15,0,0
BKZ16,2016Dec,2016,12,1,2016,9,9,113,153.75,153.75,153.75,153.75,0,0
BKZ16,2016Dec,2016,12,1,2016,9,12,110,153.5,155.6,152.75,155.05,3,3
BKZ16,2016Dec,2016,12,1,2016,9,13,109,153.55,154.15,151.05,151.05,10,13
BKZ16,2016Dec,2016,12,1,2016,9,14,108,151.5,152.8,151.35,151.35,1,14
BKZ16,2016Dec,2016,12,1,2016,9,15,107,152.3,152.85,151.1,152.1,1,15
BKZ16,2016Dec,2016,12,1,2016,9,16,106,151.65,152.35,151.45,151.8,2,13
BKZ16,2016Dec,2016,12,1,2016,9,19,103,153.6,153.9,153.15,153.9,11,13
BKZ16,2016Dec,2016,12,1,2016,9,20,102,154.75,154.75,153.55,153.55,10,21
BKZ16,2016Dec,2016,12,1,2016,9,21,101,153.85,155.65,151.9,155.45,6,24
BKZ16,2016Dec,2016,12,1,2016,9,22,100,156.75,158.3,156.75,158.1,270,142
BKZ16,2016Dec,2016,12,1,2016,9,23,99,157.65,159.45,156.6,158.6,266,313
BKZ16,2016Dec,2016,12,1,2016,9,26,96,158.1,159.35,158.0,158.95,134,379
BKZ16,2016Dec,2016,12,1,2016,9,27,95,159.25,159.5,157.75,158.0,112,319
BKZ16,2016Dec,2016,12,1,2016,9,28,94,158.65,159.2,157.8,159.2,36,295
BKZ16,2016Dec,2016,12,1,2016,9,29,93,157.95,158.75,156.55,157.2,55,290
BKZ16,2016Dec,2016,12,1,2016,9,30,92,158.7,158.7,156.2,156.2,52,269
BKZ16,2016Dec,2016,12,1,2016,10,3,89,154.95,155.2,153.1,153.3,30,260
BKZ16,2016Dec,2016,12,1,2016,10,4,88,153.1,153.1,150.1,150.9,44,269
BKZ16,2016Dec,2016,12,1,2016,10,5,87,148.0,151.75,147.6,148.0,2,269
BKZ16,2016Dec,2016,12,1,2016,10,6,86,146.15,149.25,146.1,148.35,65,285
BKZ16,2016Dec,2016,12,1,2016,10,7,85,149.9,150.5,147.3,147.9,62,253
BKZ16,2016Dec,2016,12,1,2016,10,10,82,148.35,149.15,148.35,148.85,12,244
BKZ16,2016Dec,2016,12,1,2016,10,11,81,148.05,148.7,147.0,147.45,5,244
BKZ16,2016Dec,2016,12,1,2016,10,12,80,148.05,149.45,147.9,149.45,4,244
BKZ16,2016Dec,2016,12,1,2016,10,13,79,148.9,150.3,148.5,150.2,33,231
BKZ16,2016Dec,2016,12,1,2016,10,14,78,149.75,151.15,149.45,149.75,32,225
BKZ16,2016Dec,2016,12,1,2016,10,17,75,150.3,150.6,149.85,149.85,6,222
BKZ16,2016Dec,2016,12,1,2016,10,18,74,150.75,151.6,150.4,150.75,5,222
BKZ16,2016Dec,2016,12,1,2016,10,19,73,150.75,151.25,149.9,151.25,4,220
BKZ16,2016Dec,2016,12,1,2016,10,20,72,151.3,151.65,150.0,150.65,17,215
BKZ16,2016Dec,2016,12,1,2016,10,21,71,149.6,150.6,149.45,150.6,24,229
BKZ16,2016Dec,2016,12,1,2016,10,24,68,152.25,152.25,150.4,150.9,14,215
BKZ16,2016Dec,2016,12,1,2016,10,25,67,150.05,150.7,149.8,150.55,17,216
BKZ16,2016Dec,2016,12,1,2016,10,26,66,149.1,149.15,147.75,148.65,33,206
BKZ16,2016Dec,2016,12,1,2016,10,27,65,147.75,147.9,144.65,145.05,31,199
BKZ16,2016Dec,2016,12,1,2016,10,28,64,145.1,146.55,145.0,145.4,34,206
BKZ16,2016Dec,2016,12,1,2016,10,31,61,146.0,147.55,145.5,147.45,18,188
BKZ16,2016Dec,2016,12,1,2016,11,1,60,147.05,147.05,143.9,144.35,52,179
BKZ16,2016Dec,2016,12,1,2016,11,2,59,144.4,144.4,142.35,142.35,13,176
BKZ16,2016Dec,2016,12,1,2016,11,3,58,141.65,142.45,141.35,141.55,7,181
BKZ16,2016Dec,2016,12,1,2016,11,4,57,141.45,143.05,141.35,142.75,12,188
BKZ16,2016Dec,2016,12,1,2016,11,7,54,144.6,145.3,144.0,145.3,13,185
BKZ16,2016Dec,2016,12,1,2016,11,8,53,144.95,146.5,144.75,146.2,7,185
BKZ16,2016Dec,2016,12,1,2016,11,9,52,142.2,144.0,140.45,142.8,21,183
BKZ16,2016Dec,2016,12,1,2016,11,10,51,142.1,142.3,138.55,140.45,2495,2129
BKZ16,2016Dec,2016,12,1,2016,11,11,50,140.8,142.35,140.5,140.65,66,2149
BKZ16,2016Dec,2016,12,1,2016,11,14,47,139.95,143.9,139.05,143.5,51,2145
BKZ16,2016Dec,2016,12,1,2016,11,15,46,144.2,145.2,141.85,142.7,73,2153
BKZ16,2016Dec,2016,12,1,2016,11,16,45,142.45,143.2,141.4,142.5,52,2153
BKZ16,2016Dec,2016,12,1,2016,11,17,44,142.55,143.2,140.9,141.05,86,2148
BKZ16,2016Dec,2016,12,1,2016,11,18,43,141.3,141.85,140.45,141.25,60,2148
BKZ16,2016Dec,2016,12,1,2016,11,21,40,142.1,142.6,140.95,141.05,30,2142
BKZ16,2016Dec,2016,12,1,2016,11,22,39,141.8,143.6,141.25,143.45,28,2148
BKZ16,2016Dec,2016,12,1,2016,11,23,38,142.35,142.8,141.45,142.4,170,2275
BKZ16,2016Dec,2016,12,1,2016,11,25,36,143.0,143.8,142.65,143.05,23,2279
BKZ16,2016Dec,2016,12,1,2016,11,28,33,143.1,144.55,143.1,143.5,839,3022
BKZ16,2016Dec,2016,12,1,2016,11,29,32,144.05,145.3,143.9,144.5,55,3022
BKZ16,2016Dec,2016,12,1,2016,11,30,31,143.05,143.9,142.35,142.85,801,3466
BKZ16,2016Dec,2016,12,1,2016,12,1,30,141.9,142.25,140.0,140.55,39,3466
BKZ16,2016Dec,2016,12,1,2016,12,2,29,141.4,143.3,141.4,142.1,63,3497
BKZ16,2016Dec,2016,12,1,2016,12,5,26,142.2,143.2,141.7,143.2,22,3495
BKZ16,2016Dec,2016,12,1,2016,12,6,25,143.9,144.5,143.1,143.65,24,3487
BKZ16,2016Dec,2016,12,1,2016,12,7,24,144.25,146.85,144.1,146.75,36,3475
BKZ16,2016Dec,2016,12,1,2016,12,8,23,146.0,148.05,145.7,147.5,37,3479
BKZ16,2016Dec,2016,12,1,2016,12,9,22,148.6,148.7,147.2,147.35,2101,5559
BKZ16,2016Dec,2016,12,1,2016,12,12,19,147.35,148.8,147.35,148.8,19,3495
BKZ16,2016Dec,2016,12,1,2016,12,13,18,149.45,149.7,148.25,149.25,44,3499
BKZ16,2016Dec,2016,12,1,2016,12,14,17,149.2,149.2,146.35,146.55,1406,3401
BKZ16,2016Dec,2016,12,1,2016,12,15,16,146.1,147.1,145.3,145.7,40,0
BKH17,2017Mar,2017,3,1,2016,9,14,198,150.4,150.4,150.4,150.4,0,0
BKH17,2017Mar,2017,3,1,2016,9,15,197,151.15,151.15,151.15,151.15,0,0
BKH17,2017Mar,2017,3,1,2016,9,16,196,150.85,150.85,150.85,150.85,0,0
BKH17,2017Mar,2017,3,1,2016,9,19,193,152.95,152.95,152.95,152.95,0,0
BKH17,2017Mar,2017,3,1,2016,9,20,192,152.65,153.05,152.65,152.65,0,0
BKH17,2017Mar,2017,3,1,2016,9,21,191,154.55,154.55,151.25,154.55,0,0
BKH17,2017Mar,2017,3,1,2016,9,22,190,157.2,157.2,157.2,157.2,0,0
BKH17,2017Mar,2017,3,1,2016,9,23,189,157.7,158.15,155.95,157.7,0,0
BKH17,2017Mar,2017,3,1,2016,9,26,186,158.05,158.05,157.4,158.05,0,0
BKH17,2017Mar,2017,3,1,2016,9,27,185,157.1,158.5,157.1,157.1,0,0
BKH17,2017Mar,2017,3,1,2016,9,28,184,158.3,158.3,158.3,158.3,0,0
BKH17,2017Mar,2017,3,1,2016,9,29,183,156.3,156.3,156.0,156.3,0,0
BKH17,2017Mar,2017,3,1,2016,9,30,182,155.3,157.3,155.3,155.3,0,0
BKH17,2017Mar,2017,3,1,2016,10,3,179,152.4,152.4,152.4,152.4,0,0
BKH17,2017Mar,2017,3,1,2016,10,4,178,150.0,150.0,149.45,150.0,0,0
BKH17,2017Mar,2017,3,1,2016,10,5,177,147.1,150.65,146.9,147.1,0,0
BKH17,2017Mar,2017,3,1,2016,10,6,176,147.45,148.3,145.4,147.45,0,0
BKH17,2017Mar,2017,3,1,2016,10,7,175,147.0,149.45,146.6,147.0,0,0
BKH17,2017Mar,2017,3,1,2016,10,10,172,147.95,148.2,147.95,147.95,0,0
BKH17,2017Mar,2017,3,1,2016,10,11,171,146.55,146.55,146.25,146.55,0,0
BKH17,2017Mar,2017,3,1,2016,10,12,170,148.55,148.55,148.55,148.55,0,0
BKH17,2017Mar,2017,3,1,2016,10,13,169,149.3,149.4,147.8,149.3,0,0
BKH17,2017Mar,2017,3,1,2016,10,14,168,148.85,150.2,148.8,148.85,0,0
BKH17,2017Mar,2017,3,1,2016,10,17,165,149.0,149.6,149.0,149.0,0,0
