symbol,contract_month,expire_Year,expire_Month,expire_Day,tradingYear,tradingMonth,tradingDay_Day,days_to_expire,open,high,low,close,volume,openInterest
BMH11,2011Mar,2011,3,1,2011,3,11,20,751.6,751.6,751.6,751.6,0,0
BMH11,2011Mar,2011,3,1,2011,3,14,17,754.5,754.5,754.5,754.5,0,0
BMH11,2011Mar,2011,3,1,2011,3,15,16,751.4,751.4,751.4,751.4,0,0
BMH11,2011Mar,2011,3,1,2011,3,16,15,742.0,742.0,742.0,742.0,0,0
BMH11,2011Mar,2011,3,1,2011,3,17,14,762.0,762.0,762.0,762.0,0,0
BMH11,2011Mar,2011,3,1,2011,3,18,13,769.85,769.85,769.85,769.85,0,0
BMM11,2011Jun,2011,6,1,2011,3,11,112,749.0,749.0,749.0,749.0,0,0
BMM11,2011Jun,2011,6,1,2011,3,14,109,751.9,754.8,741.8,751.9,0,0
BMM11,2011Jun,2011,6,1,2011,3,15,108,748.8,753.3,743.7,748.8,0,0
BMM11,2011Jun,2011,6,1,2011,3,16,107,739.4,753.2,728.3,739.4,0,0
BMM11,2011Jun,2011,6,1,2011,3,17,106,759.4,759.4,759.4,759.4,0,0
BMM11,2011Jun,2011,6,1,2011,3,18,105,756.1,756.1,756.1,756.1,0,0
BMM11,2011Jun,2011,6,1,2011,3,21,102,776.4,776.7,776.4,776.4,0,0
BMM11,2011Jun,2011,6,1,2011,3,22,101,776.1,776.1,774.0,776.1,0,0
BMM11,2011Jun,2011,6,1,2011,3,23,100,777.0,779.4,772.2,777.0,0,0
BMM11,2011Jun,2011,6,1,2011,3,24,99,777.7,780.7,772.1,777.7,0,0
BMM11,2011Jun,2011,6,1,2011,3,25,98,787.0,789.2,787.0,787.0,0,0
BMM11,2011Jun,2011,6,1,2011,3,28,95,785.5,794.1,785.5,785.5,0,0
BMM11,2011Jun,2011,6,1,2011,3,29,94,794.6,796.5,782.4,794.6,0,0
BMM11,2011Jun,2011,6,1,2011,3,30,93,798.1,804.2,794.0,798.1,0,0
BMM11,2011Jun,2011,6,1,2011,3,31,92,798.0,798.0,798.0,798.0,0,0
BMM11,2011Jun,2011,6,1,2011,4,1,91,799.1,806.4,799.1,799.1,0,0
BMM11,2011Jun,2011,6,1,2011,4,4,88,800.4,805.9,800.4,800.4,0,0
BMM11,2011Jun,2011,6,1,2011,4,5,87,802.1,807.8,799.8,802.1,0,0
BMM11,2011Jun,2011,6,1,2011,4,6,86,796.6,802.3,791.6,796.6,0,0
BMM11,2011Jun,2011,6,1,2011,4,7,85,795.9,798.1,788.6,795.9,0,0
BMM11,2011Jun,2011,6,1,2011,4,8,84,796.7,803.6,793.5,796.7,0,0
BMM11,2011Jun,2011,6,1,2011,4,11,81,782.3,798.0,779.4,782.3,0,0
BMM11,2011Jun,2011,6,1,2011,4,12,80,758.2,758.2,753.6,758.2,0,0
BMM11,2011Jun,2011,6,1,2011,4,13,79,758.9,766.9,755.1,758.9,0,0
BMM11,2011Jun,2011,6,1,2011,4,14,78,761.9,768.0,754.0,761.9,0,0
BMM11,2011Jun,2011,6,1,2011,4,15,77,770.5,773.3,770.5,770.5,0,0
BMM11,2011Jun,2011,6,1,2011,4,18,74,763.5,763.5,752.6,763.5,0,0
BMM11,2011Jun,2011,6,1,2011,4,19,73,767.8,770.1,760.2,767.8,0,0
BMM11,2011Jun,2011,6,1,2011,4,20,72,786.8,786.8,786.8,786.8,0,0
BMM11,2011Jun,2011,6,1,2011,4,21,71,788.2,791.6,784.8,788.2,0,0
BMM11,2011Jun,2011,6,1,2011,4,25,67,788.0,790.7,781.7,788.0,0,0
BMM11,2011Jun,2011,6,1,2011,4,26,66,792.2,795.0,785.3,792.2,0,0
BMM11,2011Jun,2011,6,1,2011,4,27,65,792.8,796.6,780.3,792.8,0,0
BMM11,2011Jun,2011,6,1,2011,4,28,64,792.2,795.6,786.1,792.2,0,0
BMM11,2011Jun,2011,6,1,2011,4,29,63,805.2,805.7,805.2,805.2,0,0
BMM11,2011Jun,2011,6,1,2011,5,2,60,807.4,808.3,789.6,791.2,10,5
BMM11,2011Jun,2011,6,1,2011,5,3,59,784.8,789.5,768.0,772.4,56,10
BMM11,2011Jun,2011,6,1,2011,5,4,58,762.2,767.2,754.4,761.9,85,6
BMM11,2011Jun,2011,6,1,2011,5,5,57,750.0,756.5,736.2,744.7,29,5
BMM11,2011Jun,2011,6,1,2011,5,6,56,758.7,764.6,740.2,748.3,27,3
BMM11,2011Jun,2011,6,1,2011,5,9,53,760.3,760.3,760.3,760.3,0,3
BMM11,2011Jun,2011,6,1,2011,5,10,52,759.5,768.3,755.6,764.9,2,4
BMM11,2011Jun,2011,6,1,2011,5,11,51,744.5,744.5,737.4,744.5,0,4
BMM11,2011Jun,2011,6,1,2011,5,12,50,743.4,747.4,728.1,743.4,0,4
BMM11,2011Jun,2011,6,1,2011,5,13,49,742.7,748.4,731.6,739.5,9,4
BMM11,2011Jun,2011,6,1,2011,5,16,46,733.2,747.1,730.6,733.2,0,4
BMM11,2011Jun,2011,6,1,2011,5,17,45,730.7,735.6,723.0,730.7,1,4
BMM11,2011Jun,2011,6,1,2011,5,18,44,745.8,752.2,745.8,745.8,0,4
BMM11,2011Jun,2011,6,1,2011,5,19,43,745.3,753.4,741.1,745.6,8,8
BMM11,2011Jun,2011,6,1,2011,5,20,42,737.5,752.6,737.4,745.4,1,7
