symbol,contract_month,expire_Year,expire_Month,expire_Day,tradingYear,tradingMonth,tradingDay_Day,days_to_expire,open,high,low,close,volume,openInterest
G7H11,2011Mar,2011,3,1,2006,3,10,1847,665.1,665.1,665.1,665.1,0,0
G7H11,2011Mar,2011,3,1,2006,3,13,1844,665.1,665.1,665.1,665.1,0,0
G7H11,2011Mar,2011,3,1,2006,3,14,1843,685.0,685.0,685.0,685.0,0,0
G7H11,2011Mar,2011,3,1,2006,3,15,1842,678.0,678.0,678.0,678.0,0,0
G7H11,2011Mar,2011,3,1,2006,3,16,1841,685.0,685.0,678.0,685.0,0,0
G7H11,2011Mar,2011,3,1,2006,3,17,1840,683.0,685.0,683.0,683.0,0,0
G7H11,2011Mar,2011,3,1,2006,3,20,1837,666.5,666.5,666.5,666.5,0,0
G7H11,2011Mar,2011,3,1,2006,3,21,1836,670.5,670.5,670.5,670.5,0,0
G7H11,2011Mar,2011,3,1,2006,3,22,1835,665.5,665.5,665.5,665.5,0,0
G7H11,2011Mar,2011,3,1,2006,3,23,1834,682.0,682.0,682.0,682.0,0,0
G7H11,2011Mar,2011,3,1,2006,3,24,1833,685.0,685.0,682.0,685.0,0,0
G7H11,2011Mar,2011,3,1,2006,3,27,1830,683.8,683.8,683.8,683.8,0,0
G7H11,2011Mar,2011,3,1,2006,3,28,1829,697.8,697.8,697.8,697.8,0,0
G7H11,2011Mar,2011,3,1,2006,3,29,1828,701.6,701.6,701.6,701.6,0,0
G7H11,2011Mar,2011,3,1,2006,3,30,1827,709.6,709.6,709.6,709.6,0,0
G7H11,2011Mar,2011,3,1,2006,3,31,1826,701.3,701.3,701.3,701.3,0,0
G7H11,2011Mar,2011,3,1,2006,4,3,1823,705.7,705.7,705.7,705.7,0,0
G7H11,2011Mar,2011,3,1,2006,4,4,1822,699.7,699.7,699.7,699.7,0,0
G7H11,2011Mar,2011,3,1,2006,4,5,1821,708.5,708.5,708.5,708.5,0,0
G7H11,2011Mar,2011,3,1,2006,4,6,1820,715.7,715.7,715.7,715.7,0,0
G7H11,2011Mar,2011,3,1,2006,4,7,1819,709.1,709.1,709.1,709.1,0,0
G7H11,2011Mar,2011,3,1,2006,4,10,1816,722.5,722.5,722.5,722.5,0,0
G7H11,2011Mar,2011,3,1,2006,4,11,1815,726.9,726.9,726.9,726.9,0,0
G7H11,2011Mar,2011,3,1,2006,4,12,1814,728.0,728.0,728.0,728.0,0,0
G7H11,2011Mar,2011,3,1,2006,4,13,1813,734.6,734.6,734.6,734.6,0,0
G7H11,2011Mar,2011,3,1,2006,4,17,1809,746.7,747.0,746.7,746.7,0,0
G7H11,2011Mar,2011,3,1,2006,4,18,1808,764.0,764.0,764.0,764.0,0,0
G7H11,2011Mar,2011,3,1,2006,4,19,1807,771.5,771.5,771.5,771.5,0,0
G7H11,2011Mar,2011,3,1,2006,4,20,1806,763.7,763.7,763.7,763.7,0,0
G7H11,2011Mar,2011,3,1,2006,4,21,1805,777.3,777.3,777.3,777.3,0,0
G7H11,2011Mar,2011,3,1,2006,4,24,1802,760.8,760.8,760.8,760.8,0,0
G7H11,2011Mar,2011,3,1,2006,4,25,1801,759.8,759.8,759.8,759.8,0,0
G7H11,2011Mar,2011,3,1,2006,4,26,1800,753.3,753.3,753.3,753.3,0,0
G7H11,2011Mar,2011,3,1,2006,4,27,1799,737.3,737.3,737.3,737.3,0,0
G7H11,2011Mar,2011,3,1,2006,4,28,1798,743.0,743.0,743.0,743.0,0,0
G7H11,2011Mar,2011,3,1,2006,5,1,1795,758.1,758.1,758.1,758.1,0,0
G7H11,2011Mar,2011,3,1,2006,5,2,1794,758.1,758.1,758.1,758.1,0,0
G7H11,2011Mar,2011,3,1,2006,5,3,1793,747.2,747.2,747.2,747.2,0,0
G7H11,2011Mar,2011,3,1,2006,5,4,1792,736.5,736.5,736.5,736.5,0,0
G7H11,2011Mar,2011,3,1,2006,5,5,1791,740.1,740.1,740.1,740.1,0,0
G7H11,2011Mar,2011,3,1,2006,5,8,1788,735.0,735.0,735.0,735.0,0,0
G7H11,2011Mar,2011,3,1,2006,5,9,1787,745.3,745.3,745.3,745.3,0,0
G7H11,2011Mar,2011,3,1,2006,5,10,1786,763.0,763.0,763.0,763.0,0,0
G7H11,2011Mar,2011,3,1,2006,5,11,1785,774.2,774.2,774.2,774.2,0,0
G7H11,2011Mar,2011,3,1,2006,5,12,1784,761.1,761.1,761.1,761.1,0,0
G7H11,2011Mar,2011,3,1,2006,5,15,1781,735.2,735.2,735.2,735.2,0,0
G7H11,2011Mar,2011,3,1,2006,5,16,1780,735.9,735.9,735.9,735.9,0,0
G7H11,2011Mar,2011,3,1,2006,5,17,1779,728.1,728.1,728.1,728.1,0,0
G7H11,2011Mar,2011,3,1,2006,5,18,1778,730.7,730.7,730.7,730.7,0,0
G7H11,2011Mar,2011,3,1,2006,5,19,1777,719.9,719.9,719.9,719.9,0,0
G7H11,2011Mar,2011,3,1,2006,5,22,1774,727.1,727.1,727.1,727.1,0,0
G7H11,2011Mar,2011,3,1,2006,5,23,1773,745.8,745.8,745.8,745.8,0,0
G7H11,2011Mar,2011,3,1,2006,5,24,1772,723.6,723.6,723.6,723.6,0,0
G7H11,2011Mar,2011,3,1,2006,5,25,1771,735.4,735.4,735.4,735.4,0,0
G7H11,2011Mar,2011,3,1,2006,5,26,1770,739.2,739.2,739.2,739.2,0,0
G7H11,2011Mar,2011,3,1,2006,5,30,1766,742.2,742.2,742.2,742.2,0,0
G7H11,2011Mar,2011,3,1,2006,5,31,1765,734.1,734.1,734.1,734.1,0,0
G7H11,2011Mar,2011,3,1,2006,6,1,1764,734.4,734.4,734.1,734.4,0,0
G7H11,2011Mar,2011,3,1,2006,6,2,1763,748.2,748.2,748.2,748.2,0,0
G7H11,2011Mar,2011,3,1,2006,6,5,1760,747.7,747.7,747.7,747.7,0,0
G7H11,2011Mar,2011,3,1,2006,6,6,1759,742.3,742.3,742.3,742.3,0,0
G7H11,2011Mar,2011,3,1,2006,6,7,1758,729.0,729.0,729.0,729.0,0,0
G7H11,2011Mar,2011,3,1,2006,6,8,1757,721.1,721.7,721.1,721.1,0,0
G7H11,2011Mar,2011,3,1,2006,6,9,1756,730.2,730.2,730.2,730.2,0,0
G7H11,2011Mar,2011,3,1,2006,6,12,1753,721.0,721.0,721.0,721.0,0,0
G7H11,2011Mar,2011,3,1,2006,6,13,1752,702.0,702.0,702.0,702.0,0,0
G7H11,2011Mar,2011,3,1,2006,6,14,1751,705.4,705.4,705.4,705.4,0,0
G7H11,2011Mar,2011,3,1,2006,6,15,1750,716.4,716.4,716.4,716.4,0,0
G7H11,2011Mar,2011,3,1,2006,6,16,1749,716.2,716.2,716.2,716.2,0,0
G7H11,2011Mar,2011,3,1,2006,6,19,1746,706.7,706.7,706.7,706.7,0,0
G7H11,2011Mar,2011,3,1,2006,6,20,1745,703.9,703.9,703.9,703.9,0,0
G7H11,2011Mar,2011,3,1,2006,6,21,1744,713.0,713.0,713.0,713.0,0,0
G7H11,2011Mar,2011,3,1,2006,6,22,1743,716.7,718.0,716.7,716.7,0,0
G7H11,2011Mar,2011,3,1,2006,6,23,1742,714.6,714.6,714.6,714.6,0,0
G7H11,2011Mar,2011,3,1,2006,6,26,1739,721.9,721.9,721.9,721.9,0,0
G7H11,2011Mar,2011,3,1,2006,6,27,1738,722.8,725.0,722.8,722.8,0,0
G7H11,2011Mar,2011,3,1,2006,6,28,1737,722.9,725.0,722.9,722.9,0,0
G7H11,2011Mar,2011,3,1,2006,6,29,1736,736.0,736.0,736.0,736.0,0,0
G7H11,2011Mar,2011,3,1,2006,6,30,1735,740.0,740.0,740.0,740.0,0,0
G7H11,2011Mar,2011,3,1,2006,7,3,1732,740.9,740.9,740.9,740.9,0,0
G7H11,2011Mar,2011,3,1,2006,7,5,1730,746.8,746.8,746.8,746.8,0,0
G7H11,2011Mar,2011,3,1,2006,7,6,1729,749.6,750.0,749.6,749.6,0,0
G7H11,2011Mar,2011,3,1,2006,7,7,1728,740.1,754.0,740.1,740.1,0,0
G7H11,2011Mar,2011,3,1,2006,7,10,1725,738.0,738.0,738.0,738.0,0,0
G7H11,2011Mar,2011,3,1,2006,7,11,1724,751.1,751.1,751.1,751.1,100,100
G7H11,2011Mar,2011,3,1,2006,7,12,1723,756.5,756.5,756.5,756.5,0,100
G7H11,2011Mar,2011,3,1,2006,7,13,1722,769.0,769.0,769.0,769.0,0,100
G7H11,2011Mar,2011,3,1,2006,7,14,1721,777.0,777.0,777.0,777.0,0,100
G7H11,2011Mar,2011,3,1,2006,7,17,1718,764.5,764.5,764.5,764.5,0,100
