symbol,contract_month,expire_Year,expire_Month,expire_Day,tradingYear,tradingMonth,tradingDay_Day,days_to_expire,open,high,low,close,volume,openInterest
GDG94,1994Feb,1994,2,1,1994,1,2,60,165.4,166.8,165.3,166.6,0,0
GDG94,1994Feb,1994,2,1,1994,1,4,58,166.6,167.5,165.6,167.2,0,0
GDG94,1994Feb,1994,2,1,1994,1,5,57,168.5,170.8,168.3,170.2,0,0
GDG94,1994Feb,1994,2,1,1994,1,6,56,169.8,171.5,169.0,171.0,0,0
GDG94,1994Feb,1994,2,1,1994,1,7,55,170.8,172.0,170.5,171.3,0,0
GDG94,1994Feb,1994,2,1,1994,1,10,52,171.1,171.1,168.8,168.9,0,0
GDG94,1994Feb,1994,2,1,1994,1,11,51,168.9,170.6,168.9,170.6,0,0
GDG94,1994Feb,1994,2,1,1994,1,12,50,171.2,171.4,169.2,169.4,0,0
GDG94,1994Feb,1994,2,1,1994,1,13,49,169.8,170.2,168.9,169.5,0,0
GDG94,1994Feb,1994,2,1,1994,1,14,48,170.6,173.3,170.6,171.8,0,0
GDG94,1994Feb,1994,2,1,1994,1,17,45,173.6,175.0,173.4,173.6,0,0
GDG94,1994Feb,1994,2,1,1994,1,18,44,172.6,172.6,170.2,170.7,0,0
GDG94,1994Feb,1994,2,1,1994,1,19,43,171.1,171.9,169.4,170.5,0,0
GDG94,1994Feb,1994,2,1,1994,1,20,42,170.9,170.9,169.3,169.7,0,0
GDG94,1994Feb,1994,2,1,1994,1,21,41,170.4,171.0,169.6,170.9,0,0
GDG94,1994Feb,1994,2,1,1994,1,24,38,170.9,173.6,170.2,173.1,0,0
GDG94,1994Feb,1994,2,1,1994,1,25,37,173.8,174.0,172.6,172.9,0,0
GDG94,1994Feb,1994,2,1,1994,1,26,36,174.4,175.6,173.7,175.2,0,0
GDG94,1994Feb,1994,2,1,1994,1,27,35,175.8,177.4,175.6,175.8,0,0
GDG94,1994Feb,1994,2,1,1994,1,28,34,175.9,176.7,174.9,176.4,0,0
GDG94,1994Feb,1994,2,1,1994,1,31,31,177.0,178.4,176.5,177.1,0,0
GDG94,1994Feb,1994,2,1,1994,2,1,30,177.4,180.8,177.3,180.7,0,0
GDG94,1994Feb,1994,2,1,1994,2,2,29,181.0,182.2,180.0,181.6,0,0
GDG94,1994Feb,1994,2,1,1994,2,3,28,182.9,183.6,178.3,178.4,0,0
GDJ94,1994Apr,1994,4,1,1994,1,2,119,170.2,170.2,170.2,170.2,0,0
GDJ94,1994Apr,1994,4,1,1994,1,4,117,170.8,170.8,169.8,170.8,0,0
GDJ94,1994Apr,1994,4,1,1994,1,5,116,172.6,172.6,171.7,172.6,0,0
GDJ94,1994Apr,1994,4,1,1994,1,6,115,173.4,173.4,172.3,173.4,0,0
GDJ94,1994Apr,1994,4,1,1994,1,7,114,173.6,173.6,173.3,173.6,0,0
GDJ94,1994Apr,1994,4,1,1994,1,10,111,170.9,170.9,170.9,170.9,0,0
GDJ94,1994Apr,1994,4,1,1994,1,11,110,171.7,171.7,171.7,171.7,0,0
GDJ94,1994Apr,1994,4,1,1994,1,12,109,171.0,172.2,170.3,170.3,0,0
GDJ94,1994Apr,1994,4,1,1994,1,13,108,170.8,170.8,170.6,170.8,0,0
GDJ94,1994Apr,1994,4,1,1994,1,14,107,172.3,173.0,172.3,172.3,0,0
GDJ94,1994Apr,1994,4,1,1994,1,17,104,173.8,174.0,173.3,173.5,0,0
GDJ94,1994Apr,1994,4,1,1994,1,18,103,171.3,171.3,171.0,171.3,0,0
GDJ94,1994Apr,1994,4,1,1994,1,19,102,171.3,171.4,170.7,171.1,0,0
GDJ94,1994Apr,1994,4,1,1994,1,20,101,170.2,171.3,170.2,170.2,0,0
GDJ94,1994Apr,1994,4,1,1994,1,21,100,171.3,171.4,171.3,171.3,0,0
GDJ94,1994Apr,1994,4,1,1994,1,24,97,172.5,172.7,171.0,172.7,0,0
GDJ94,1994Apr,1994,4,1,1994,1,25,96,172.8,173.1,172.5,172.5,0,0
GDJ94,1994Apr,1994,4,1,1994,1,26,95,173.5,174.1,173.5,174.1,0,0
GDJ94,1994Apr,1994,4,1,1994,1,27,94,174.4,174.7,173.8,173.8,0,0
GDJ94,1994Apr,1994,4,1,1994,1,28,93,173.8,173.8,173.7,173.8,0,0
GDJ94,1994Apr,1994,4,1,1994,1,31,90,173.8,174.9,173.8,174.5,0,0
GDJ94,1994Apr,1994,4,1,1994,2,1,89,175.4,177.0,175.4,177.0,0,0
GDJ94,1994Apr,1994,4,1,1994,2,2,88,177.0,177.6,176.8,177.2,0,0
GDJ94,1994Apr,1994,4,1,1994,2,3,87,178.3,178.7,175.5,175.5,0,0
GDJ94,1994Apr,1994,4,1,1994,2,4,86,175.3,175.3,174.0,174.9,0,0
GDJ94,1994Apr,1994,4,1,1994,2,7,83,174.1,174.2,173.3,173.8,0,0
GDJ94,1994Apr,1994,4,1,1994,2,8,82,174.4,175.1,174.2,174.3,0,0
GDJ94,1994Apr,1994,4,1,1994,2,9,81,173.9,174.6,172.2,172.9,0,0
GDJ94,1994Apr,1994,4,1,1994,2,10,80,173.5,173.9,171.8,172.9,0,0
GDJ94,1994Apr,1994,4,1,1994,2,11,79,173.3,173.4,172.4,173.0,0,0
GDJ94,1994Apr,1994,4,1,1994,2,14,76,173.8,173.8,171.4,171.6,0,0
GDJ94,1994Apr,1994,4,1,1994,2,15,75,171.5,172.0,170.9,171.3,0,0
GDJ94,1994Apr,1994,4,1,1994,2,16,74,172.0,172.3,171.3,171.3,0,0
GDJ94,1994Apr,1994,4,1,1994,2,17,73,171.6,172.6,171.0,171.3,0,0
GDJ94,1994Apr,1994,4,1,1994,2,18,72,171.9,171.9,171.1,171.5,0,0
GDJ94,1994Apr,1994,4,1,1994,2,22,68,171.8,172.9,171.7,172.7,0,0
GDJ94,1994Apr,1994,4,1,1994,2,23,67,172.8,173.0,171.5,171.6,0,0
GDJ94,1994Apr,1994,4,1,1994,2,24,66,171.7,173.9,171.5,173.6,0,0
GDJ94,1994Apr,1994,4,1,1994,2,25,65,173.9,173.9,172.1,172.8,0,0
GDJ94,1994Apr,1994,4,1,1994,2,28,62,173.4,173.8,171.8,171.9,0,0
GDJ94,1994Apr,1994,4,1,1994,3,1,61,172.3,172.3,171.2,171.8,0,0
