symbol,contract_month,expire_Year,expire_Month,expire_Day,tradingYear,tradingMonth,tradingDay_Day,days_to_expire,open,high,low,close,volume,openInterest
J7Z99,1999Dec,1999,12,1,1999,10,24,68,0.9562001,0.9567001,0.9562001,0.9564002,0,0
J7Z99,1999Dec,1999,12,1,1999,10,26,66,0.9563,0.9620001,0.9562001,0.9620001,0,0
J7Z99,1999Dec,1999,12,1,1999,10,27,65,0.9656,0.9693,0.9620001,0.9648001,0,0
J7Z99,1999Dec,1999,12,1,1999,10,28,64,0.966,0.9674001,0.9572001,0.9576001000000001,0,0
J7Z99,1999Dec,1999,12,1,1999,10,29,63,0.9586,0.9665,0.9577001,0.9659001,0,0
J7Z99,1999Dec,1999,12,1,1999,11,1,60,0.9670001,0.9675,0.9642001,0.9655001,0,0
J7Z99,1999Dec,1999,12,1,1999,11,2,59,0.9670001,0.9677001000000001,0.9589002000000001,0.966,0,0
J7Z99,1999Dec,1999,12,1,1999,11,3,58,0.9646,0.9710001,0.9535,0.9588,0,0
J7Z99,1999Dec,1999,12,1,1999,11,4,57,0.9576001000000001,0.9630001,0.9530001,0.9584001,0,0
J7Z99,1999Dec,1999,12,1,1999,11,5,56,0.9555001000000001,0.9593,0.9413,0.9481,0,0
J7Z99,1999Dec,1999,12,1,1999,11,8,53,0.9490001,0.9558001,0.946,0.9558001,0,0
J7Z99,1999Dec,1999,12,1,1999,11,9,52,0.9535,0.9584001,0.9535,0.9574001,0,0
J7Z99,1999Dec,1999,12,1,1999,11,10,51,0.9574001,0.9620001,0.9565001000000001,0.9605001,0,0
J7Z99,1999Dec,1999,12,1,1999,11,11,50,0.9575,0.9617001000000001,0.9552001,0.9605001,0,0
J7Z99,1999Dec,1999,12,1,1999,11,12,49,0.9539002000000001,0.9567001,0.9538,0.955,0,0
J7Z99,1999Dec,1999,12,1,1999,11,15,46,0.9585,0.9585,0.9547001,0.9573001,0,0
J7Z99,1999Dec,1999,12,1,1999,11,16,45,0.956,0.9574001,0.9472001,0.9482,0,0
J7Z99,1999Dec,1999,12,1,1999,11,17,44,0.9490001,0.9525,0.9484001,0.9523001,0,0
J7Z99,1999Dec,1999,12,1,1999,11,18,43,0.9477001,0.9528,0.9468001,0.9472001,0,0
J7Z99,1999Dec,1999,12,1,1999,11,19,42,0.9423001,0.9471,0.9421,0.9452001,0,0
J7Z99,1999Dec,1999,12,1,1999,11,22,39,0.95,0.9580001,0.9435,0.9569001,0,0
J7Z99,1999Dec,1999,12,1,1999,11,23,38,0.9580001,0.9634001,0.9567001,0.9628,0,0
J7Z99,1999Dec,1999,12,1,1999,11,24,37,0.96,0.9640000000000001,0.9580001,0.9590001,0,0
J7Z99,1999Dec,1999,12,1,1999,11,26,35,0.9668,0.9863001,0.9667001000000001,0.9863001,0,0
J7Z99,1999Dec,1999,12,1,1999,11,29,32,0.9770001,0.9853001,0.9620001,0.9802001,0,0
J7Z99,1999Dec,1999,12,1,1999,11,30,31,0.9790000000000001,0.9865,0.9740000000000001,0.9833001,0,0
J7Z99,1999Dec,1999,12,1,1999,12,1,30,0.9775,0.9849001000000001,0.9756,0.9756,0,0
J7Z99,1999Dec,1999,12,1,1999,12,2,29,0.9777001000000001,0.9777001000000001,0.9753,0.9756,0,0
J7Z99,1999Dec,1999,12,1,1999,12,3,28,0.978,0.9840000000000001,0.975,0.975,0,0
J7Z99,1999Dec,1999,12,1,1999,12,6,25,0.975,0.9822001,0.9630001,0.9715,0,0
J7Z99,1999Dec,1999,12,1,1999,12,7,24,0.9720001,0.9840000000000001,0.9720001,0.9779001,0,0
J7Z99,1999Dec,1999,12,1,1999,12,8,23,0.9760001,0.9775,0.9724001,0.9726001,0,0
J7Z99,1999Dec,1999,12,1,1999,12,9,22,0.9735001,0.9768,0.9735001,0.9768,0,0
J7Z99,1999Dec,1999,12,1,1999,12,10,21,0.975,0.9775,0.975,0.9775,0,0
J7Z99,1999Dec,1999,12,1,1999,12,13,18,0.9775,0.9775,0.9691,0.9691,0,0
J7H00,2000Mar,2000,3,1,1999,10,24,159,0.9713,0.9713,0.9713,0.9713,0,0
J7H00,2000Mar,2000,3,1,1999,10,26,157,0.9768,0.9768,0.9768,0.9768,0,0
J7H00,2000Mar,2000,3,1,1999,10,27,156,0.9796,0.9796,0.9796,0.9796,0,0
J7H00,2000Mar,2000,3,1,1999,10,28,155,0.9723001,0.9723001,0.9723001,0.9723001,0,0
J7H00,2000Mar,2000,3,1,1999,10,29,154,0.9806,0.9806,0.9806,0.9806,0,0
J7H00,2000Mar,2000,3,1,1999,11,1,151,0.9802001,0.9802001,0.9802001,0.9802001,0,0
J7H00,2000Mar,2000,3,1,1999,11,2,150,0.9807001000000001,0.9807001000000001,0.9807001000000001,0.9807001000000001,0,0
J7H00,2000Mar,2000,3,1,1999,11,3,149,0.9734001,0.9734001,0.9734001,0.9734001,0,0
J7H00,2000Mar,2000,3,1,1999,11,4,148,0.9729001,0.9729001,0.9729001,0.9729001,0,0
J7H00,2000Mar,2000,3,1,1999,11,5,147,0.9624001,0.9624001,0.9624001,0.9624001,0,0
J7H00,2000Mar,2000,3,1,1999,11,8,144,0.9701001,0.9701001,0.9701001,0.9701001,0,0
J7H00,2000Mar,2000,3,1,1999,11,9,143,0.9716,0.9716,0.9716,0.9716,0,0
J7H00,2000Mar,2000,3,1,1999,11,10,142,0.9747,0.9747,0.9747,0.9747,0,0
J7H00,2000Mar,2000,3,1,1999,11,11,141,0.9747,0.9747,0.9747,0.9747,0,0
J7H00,2000Mar,2000,3,1,1999,11,12,140,0.9692001,0.9692001,0.9692001,0.9692001,0,0
J7H00,2000Mar,2000,3,1,1999,11,15,137,0.9715,0.9715,0.9715,0.9715,0,0
J7H00,2000Mar,2000,3,1,1999,11,16,136,0.9623001,0.9623001,0.9623001,0.9623001,0,0
J7H00,2000Mar,2000,3,1,1999,11,17,135,0.9664001,0.9664001,0.9664001,0.9664001,0,0
J7H00,2000Mar,2000,3,1,1999,11,18,134,0.9612001,0.9612001,0.9612001,0.9612001,0,0
J7H00,2000Mar,2000,3,1,1999,11,22,130,0.9710001,0.9710001,0.9710001,0.9710001,0,0
J7H00,2000Mar,2000,3,1,1999,11,23,129,0.9770001,0.9770001,0.9770001,0.9770001,0,0
J7H00,2000Mar,2000,3,1,1999,11,26,126,1.0007,1.0007,1.0007,1.0007,0,0
J7H00,2000Mar,2000,3,1,1999,11,29,123,0.9948001,0.9948001,0.9948001,0.9948001,0,0
J7H00,2000Mar,2000,3,1,1999,11,30,122,0.9851001,0.9979001000000001,0.9851001,0.9979001000000001,0,0
