symbol,contract_month,expire_Year,expire_Month,expire_Day,tradingYear,tradingMonth,tradingDay_Day,days_to_expire,open,high,low,close,volume,openInterest
JBH11,2011Mar,2011,3,1,2011,3,11,20,255.2,255.2,255.2,255.2,0,0
JBH11,2011Mar,2011,3,1,2011,3,14,17,255.2,255.2,255.2,255.2,0,0
JBH11,2011Mar,2011,3,1,2011,3,15,16,252.3,252.3,252.3,252.3,0,0
JBH11,2011Mar,2011,3,1,2011,3,16,15,248.5,248.5,248.5,248.5,0,0
JBH11,2011Mar,2011,3,1,2011,3,17,14,249.4,249.4,249.4,249.4,0,0
JBH11,2011Mar,2011,3,1,2011,3,18,13,252.05,252.05,252.05,252.05,0,0
JBM11,2011Jun,2011,6,1,2011,3,11,112,254.4,254.4,254.4,254.4,0,0
JBM11,2011Jun,2011,6,1,2011,3,14,109,254.4,256.9,254.4,254.4,0,0
JBM11,2011Jun,2011,6,1,2011,3,15,108,251.5,251.5,251.5,251.5,0,0
JBM11,2011Jun,2011,6,1,2011,3,16,107,247.7,247.7,244.8,247.7,0,0
JBM11,2011Jun,2011,6,1,2011,3,17,106,248.6,250.2,248.6,248.6,0,0
JBM11,2011Jun,2011,6,1,2011,3,18,105,251.1,251.1,251.1,251.1,0,0
JBM11,2011Jun,2011,6,1,2011,3,21,102,252.6,252.6,252.6,252.6,0,0
JBM11,2011Jun,2011,6,1,2011,3,22,101,253.0,253.0,253.0,253.0,0,0
JBM11,2011Jun,2011,6,1,2011,3,23,100,253.9,253.9,253.9,253.9,0,0
JBM11,2011Jun,2011,6,1,2011,3,24,99,257.2,257.2,257.2,257.2,0,0
JBM11,2011Jun,2011,6,1,2011,3,25,98,258.2,260.0,258.2,258.2,0,0
JBM11,2011Jun,2011,6,1,2011,3,28,95,258.1,260.2,258.1,258.1,0,0
JBM11,2011Jun,2011,6,1,2011,3,29,94,258.9,259.6,257.2,258.9,0,0
JBM11,2011Jun,2011,6,1,2011,3,30,93,259.9,261.5,259.9,259.9,0,0
JBM11,2011Jun,2011,6,1,2011,3,31,92,260.4,260.4,260.4,260.4,0,0
