symbol,contract_month,expire_Year,expire_Month,expire_Day,tradingYear,tradingMonth,tradingDay_Day,days_to_expire,open,high,low,close,volume,openInterest
JEH11,2011Mar,2011,3,1,2011,3,11,20,327.1,327.1,327.1,327.1,0,0
JEH11,2011Mar,2011,3,1,2011,3,14,17,327.1,327.1,327.1,327.1,0,0
JEH11,2011Mar,2011,3,1,2011,3,15,16,324.7,324.7,324.7,324.7,0,0
JEH11,2011Mar,2011,3,1,2011,3,16,15,319.3,319.3,319.3,319.3,0,0
JEH11,2011Mar,2011,3,1,2011,3,17,14,319.7,319.7,319.7,319.7,0,0
JEH11,2011Mar,2011,3,1,2011,3,18,13,322.64,322.64,322.64,322.64,0,0
JEM11,2011Jun,2011,6,1,2011,3,11,112,325.5,325.5,325.5,325.5,0,0
JEM11,2011Jun,2011,6,1,2011,3,14,109,325.5,325.7,322.8,325.5,0,0
JEM11,2011Jun,2011,6,1,2011,3,15,108,323.1,323.1,319.1,323.1,0,0
JEM11,2011Jun,2011,6,1,2011,3,16,107,317.7,317.7,313.6,317.7,0,0
JEM11,2011Jun,2011,6,1,2011,3,17,106,318.1,318.5,317.4,318.1,0,0
JEM11,2011Jun,2011,6,1,2011,3,18,105,320.2,320.2,320.2,320.2,0,0
JEM11,2011Jun,2011,6,1,2011,3,21,102,321.5,323.2,321.5,321.5,0,0
JEM11,2011Jun,2011,6,1,2011,3,22,101,322.1,322.3,322.1,322.1,0,0
JEM11,2011Jun,2011,6,1,2011,3,23,100,321.8,321.8,320.8,321.8,0,0
JEM11,2011Jun,2011,6,1,2011,3,24,99,323.9,326.0,323.9,323.9,0,0
JEM11,2011Jun,2011,6,1,2011,3,25,98,325.0,327.8,325.0,325.0,0,0
JEM11,2011Jun,2011,6,1,2011,3,28,95,327.0,327.1,326.7,327.0,3,3
JEM11,2011Jun,2011,6,1,2011,3,29,94,328.3,328.3,326.6,328.3,0,3
JEM11,2011Jun,2011,6,1,2011,3,30,93,329.1,329.1,329.1,329.1,0,3
JEM11,2011Jun,2011,6,1,2011,3,31,92,330.9,330.9,330.9,330.9,0,3
JEM11,2011Jun,2011,6,1,2011,4,1,91,331.0,333.3,331.0,331.0,0,3
JEM11,2011Jun,2011,6,1,2011,4,4,88,334.2,335.3,334.2,334.2,0,3
JEM11,2011Jun,2011,6,1,2011,4,5,87,333.2,333.2,333.2,333.2,0,3
JEM11,2011Jun,2011,6,1,2011,4,6,86,333.6,334.4,333.6,333.6,0,3
JEM11,2011Jun,2011,6,1,2011,4,7,85,333.4,333.4,333.4,333.4,0,3
JEM11,2011Jun,2011,6,1,2011,4,8,84,333.7,334.7,332.6,333.7,0,3
JEM11,2011Jun,2011,6,1,2011,4,11,81,335.0,335.6,335.0,335.0,0,3
JEM11,2011Jun,2011,6,1,2011,4,12,80,334.8,335.8,334.1,334.8,0,3
JEM11,2011Jun,2011,6,1,2011,4,13,79,333.8,335.4,333.7,333.8,0,3
JEM11,2011Jun,2011,6,1,2011,4,14,78,335.2,336.6,333.0,335.2,0,3
