symbol,contract_month,expire_Year,expire_Month,expire_Day,tradingYear,tradingMonth,tradingDay_Day,days_to_expire,open,high,low,close,volume,openInterest
K9Z14,2014Dec,2014,12,1,2014,9,23,99,97.85,97.86,97.84,97.8591,12,3
K9Z14,2014Dec,2014,12,1,2014,9,24,98,97.81499000000001,97.8155,97.81499000000001,97.81499000000001,17,2
K9Z14,2014Dec,2014,12,1,2014,9,25,97,97.86269,97.865,97.86269,97.86269,0,2
K9Z14,2014Dec,2014,12,1,2014,9,26,96,97.835,97.835,97.825,97.82719,47,3
K9Z14,2014Dec,2014,12,1,2014,9,29,93,97.85,97.85,97.8495,97.85,10,3
K9Z14,2014Dec,2014,12,1,2014,9,30,92,97.84,97.84,97.82999000000001,97.835,20,11
K9Z14,2014Dec,2014,12,1,2014,10,1,91,97.92,97.92049,97.92,97.92,0,11
K9Z14,2014Dec,2014,12,1,2014,10,2,90,97.93,97.93,97.9145,97.915,5,14
K9Z14,2014Dec,2014,12,1,2014,10,3,89,97.8807,97.8807,97.88,97.8807,0,14
K9Z14,2014Dec,2014,12,1,2014,10,6,86,97.925,97.925,97.92269,97.925,0,14
K9Z14,2014Dec,2014,12,1,2014,10,7,85,97.98,97.98219,97.98,97.98,0,14
K9Z14,2014Dec,2014,12,1,2014,10,8,84,98.06499000000001,98.06499000000001,98.0641,98.06499000000001,0,14
K9Z14,2014Dec,2014,12,1,2014,10,9,83,98.0685,98.07,98.0685,98.0685,0,14
K9Z14,2014Dec,2014,12,1,2014,10,10,82,98.0912,98.0912,98.09,98.0912,0,14
K9Z14,2014Dec,2014,12,1,2014,10,13,79,98.185,98.1862,98.185,98.185,0,14
K9Z14,2014Dec,2014,12,1,2014,10,14,78,98.1982,98.2,98.1982,98.1982,0,14
K9Z14,2014Dec,2014,12,1,2014,10,15,77,98.355,98.355,98.354,98.355,0,14
K9Z14,2014Dec,2014,12,1,2014,10,16,76,98.28,98.28200000000001,98.28,98.28,0,14
K9Z14,2014Dec,2014,12,1,2014,10,17,75,98.2422,98.2422,98.24,98.2422,0,14
K9Z14,2014Dec,2014,12,1,2014,10,20,72,98.2745,98.275,98.24,98.2745,0,14
K9Z14,2014Dec,2014,12,1,2014,10,21,71,98.27,98.27,98.26969,98.27,0,14
K9Z14,2014Dec,2014,12,1,2014,10,22,70,98.245,98.2462,98.245,98.245,0,14
K9Z14,2014Dec,2014,12,1,2014,10,23,69,98.18999000000001,98.18999000000001,98.18999000000001,98.18999000000001,0,14
K9Z14,2014Dec,2014,12,1,2014,10,24,68,98.185,98.185,98.185,98.185,0,14
K9Z14,2014Dec,2014,12,1,2014,10,27,65,98.20499000000001,98.20499000000001,98.20269,98.20499000000001,0,14
K9Z14,2014Dec,2014,12,1,2014,10,28,64,98.185,98.1866,98.185,98.185,0,14
K9Z14,2014Dec,2014,12,1,2014,10,29,63,98.105,98.10600000000001,98.105,98.105,0,14
K9Z14,2014Dec,2014,12,1,2014,10,30,62,98.14,98.14019,98.14,98.14,0,14
K9Z14,2014Dec,2014,12,1,2014,10,31,61,98.11,98.115,98.11,98.1137,5,19
K9Z14,2014Dec,2014,12,1,2014,11,3,58,98.105,98.1055,98.105,98.105,0,19
K9Z14,2014Dec,2014,12,1,2014,11,4,57,98.105,98.1062,98.105,98.105,0,19
K9Z14,2014Dec,2014,12,1,2014,11,5,56,98.1,98.1,98.095,98.1,0,19
K9Z14,2014Dec,2014,12,1,2014,11,6,55,98.075,98.07549,98.075,98.075,0,19
K9Z14,2014Dec,2014,12,1,2014,11,7,54,98.14269,98.145,98.14269,98.14269,0,19
K9Z14,2014Dec,2014,12,1,2014,11,10,51,98.1012,98.1012,98.1,98.1012,0,19
K9Z14,2014Dec,2014,12,1,2014,11,11,50,98.09019,98.09019,98.09,98.09019,0,19
K9Z14,2014Dec,2014,12,1,2014,11,12,49,98.1125,98.11269,98.1125,98.1125,0,19
K9Z14,2014Dec,2014,12,1,2014,11,13,48,98.13499,98.1357,98.1125,98.13499,0,19
K9Z14,2014Dec,2014,12,1,2014,11,14,47,98.15469,98.155,98.15469,98.15469,0,19
K9Z14,2014Dec,2014,12,1,2014,11,17,44,98.145,98.145,98.1446,98.145,0,19
K9Z14,2014Dec,2014,12,1,2014,11,18,43,98.1625,98.16309,98.1625,98.1625,0,19
K9Z14,2014Dec,2014,12,1,2014,11,19,42,98.14,98.14,98.13889,98.14,0,19
K9Z14,2014Dec,2014,12,1,2014,11,20,41,98.155,98.155,98.15389,98.155,0,19
K9Z14,2014Dec,2014,12,1,2014,11,21,40,98.1664,98.1675,98.1664,98.1664,0,19
K9Z14,2014Dec,2014,12,1,2014,11,24,37,98.1746,98.175,98.1746,98.1746,0,19
K9Z14,2014Dec,2014,12,1,2014,11,25,36,98.2125,98.2129,98.2125,98.2125,0,19
K9Z14,2014Dec,2014,12,1,2014,11,26,35,98.2275,98.2286,98.2275,98.2275,0,19
K9Z14,2014Dec,2014,12,1,2014,11,28,33,98.2694,98.27,98.2694,98.2694,0,19
K9Z14,2014Dec,2014,12,1,2014,12,1,30,98.25999,98.25999,98.2589,98.25999,0,19
K9Z14,2014Dec,2014,12,1,2014,12,2,29,98.195,98.19559,98.195,98.195,0,19
K9Z14,2014Dec,2014,12,1,2014,12,3,28,98.1775,98.1775,98.1769,98.1775,0,19
K9Z14,2014Dec,2014,12,1,2014,12,4,27,98.2025,98.2025,98.2021,98.2025,0,19
K9Z14,2014Dec,2014,12,1,2014,12,5,26,98.1149,98.115,98.1149,98.1149,0,19
K9Z14,2014Dec,2014,12,1,2014,12,8,23,98.12749000000001,98.12749000000001,98.1264,98.12749000000001,0,19
K9Z14,2014Dec,2014,12,1,2014,12,9,22,98.1625,98.1625,98.1589,98.16,10,19
K9Z14,2014Dec,2014,12,1,2014,12,10,21,98.225,98.225,98.2244,98.225,0,19
K9Z14,2014Dec,2014,12,1,2014,12,11,20,98.1925,98.1932,98.1925,98.1925,0,19
K9Z14,2014Dec,2014,12,1,2014,12,12,19,98.2604,98.2604,98.25999,98.2604,0,19
K9Z14,2014Dec,2014,12,1,2014,12,15,16,98.2216,98.2225,98.2216,98.2216,0,0
K9H15,2015Mar,2015,3,1,2014,9,23,189,97.6991,97.6991,97.6991,97.6991,0,0
K9H15,2015Mar,2015,3,1,2014,9,24,188,97.65,97.6522,97.65,97.65,0,0
K9H15,2015Mar,2015,3,1,2014,9,25,187,97.70269,97.70499000000001,97.70269,97.70269,0,0
K9H15,2015Mar,2015,3,1,2014,9,26,186,97.667,97.667,97.665,97.667,0,0
K9H15,2015Mar,2015,3,1,2014,9,29,183,97.68999000000001,97.6916,97.68999000000001,97.68999000000001,0,0
K9H15,2015Mar,2015,3,1,2014,9,30,182,97.675,97.6755,97.675,97.675,0,0
K9H15,2015Mar,2015,3,1,2014,10,1,181,97.765,97.76700000000001,97.765,97.765,0,0
K9H15,2015Mar,2015,3,1,2014,10,2,180,97.75999,97.75999,97.75999,97.75999,0,0
K9H15,2015Mar,2015,3,1,2014,10,3,179,97.7257,97.7257,97.725,97.7257,0,0
K9H15,2015Mar,2015,3,1,2014,10,6,176,97.77,97.77,97.76899999999999,97.77,0,0
K9H15,2015Mar,2015,3,1,2014,10,7,175,97.82999000000001,97.83200000000001,97.82999000000001,97.82999000000001,0,0
K9H15,2015Mar,2015,3,1,2014,10,8,174,97.915,97.9157,97.915,97.915,0,0
K9H15,2015Mar,2015,3,1,2014,10,9,173,97.921,97.921,97.92,97.921,0,0
K9H15,2015Mar,2015,3,1,2014,10,10,172,97.9455,97.9455,97.945,97.9455,0,0
K9H15,2015Mar,2015,3,1,2014,10,13,169,98.045,98.0452,98.045,98.045,0,0
