symbol,contract_month,expire_Year,expire_Month,expire_Day,tradingYear,tradingMonth,tradingDay_Day,days_to_expire,open,high,low,close,volume,openInterest
M1M14,2014Jun,2014,6,1,2014,4,17,75,103.85,103.85,103.8,103.85,0,20
M1M14,2014Jun,2014,6,1,2014,4,21,71,103.85,103.85,103.85,103.85,0,20
M1M14,2014Jun,2014,6,1,2014,4,22,70,103.72,103.85,103.72,103.72,0,20
M1M14,2014Jun,2014,6,1,2014,4,23,69,103.66,103.72,103.66,103.7,20,20
M1M14,2014Jun,2014,6,1,2014,4,24,68,103.64,103.7,103.56,103.65,823,822
M1M14,2014Jun,2014,6,1,2014,4,25,67,103.74,103.74,103.65,103.74,0,822
M1M14,2014Jun,2014,6,1,2014,4,28,64,103.74,103.74,103.74,103.74,0,822
M1M14,2014Jun,2014,6,1,2014,4,29,63,103.65,103.82,103.64,103.82,31,832
M1M14,2014Jun,2014,6,1,2014,4,30,62,103.93,103.93,103.82,103.93,0,832
M1M14,2014Jun,2014,6,1,2014,5,1,61,103.93,103.93,103.93,103.93,0,832
M1M14,2014Jun,2014,6,1,2014,5,2,60,103.93,103.93,103.93,103.93,0,832
M1M14,2014Jun,2014,6,1,2014,5,5,57,104.05,104.05,103.93,104.05,10,822
M1M14,2014Jun,2014,6,1,2014,5,6,56,103.95,104.05,103.95,103.95,0,822
M1M14,2014Jun,2014,6,1,2014,5,7,55,103.98,103.98,103.81,103.89,815,927
M1M14,2014Jun,2014,6,1,2014,5,8,54,104.09,104.09,103.89,104.09,0,507
M1M14,2014Jun,2014,6,1,2014,5,9,53,104.13,104.13,104.13,104.13,0,507
M1M14,2014Jun,2014,6,1,2014,5,12,50,104.17,104.17,104.16,104.16,800,308
M1M14,2014Jun,2014,6,1,2014,5,13,49,104.33,104.44,104.16,104.44,810,1098
M1M14,2014Jun,2014,6,1,2014,5,14,48,104.64,104.64,104.64,104.64,0,1098
M1M14,2014Jun,2014,6,1,2014,5,15,47,104.8,104.84,104.64,104.84,400,405
M1M14,2014Jun,2014,6,1,2014,5,16,46,104.76,104.84,104.76,104.76,0,405
M1M14,2014Jun,2014,6,1,2014,5,19,43,104.75,104.75,104.69,104.69,900,1305
M1M14,2014Jun,2014,6,1,2014,5,20,42,104.65,104.65,104.65,104.65,600,1905
M1M14,2014Jun,2014,6,1,2014,5,21,41,104.57,104.57,104.57,104.57,0,1905
M1M14,2014Jun,2014,6,1,2014,5,22,40,104.65,104.67,104.65,104.67,800,1905
M1M14,2014Jun,2014,6,1,2014,5,23,39,104.67,104.67,104.67,104.67,400,1905
M1M14,2014Jun,2014,6,1,2014,5,27,35,104.85,104.85,104.85,104.85,400,2107
M1M14,2014Jun,2014,6,1,2014,5,28,34,104.97,104.97,104.97,104.97,0,2107
M1M14,2014Jun,2014,6,1,2014,5,29,33,104.97,104.98,104.96,104.96,598,2305
M1M14,2014Jun,2014,6,1,2014,5,30,32,104.91,104.91,104.91,104.91,0,2305
M1M14,2014Jun,2014,6,1,2014,6,2,29,104.91,104.91,104.91,104.91,0,2305
M1M14,2014Jun,2014,6,1,2014,6,3,28,104.77,104.77,104.77,104.77,0,2305
M1M14,2014Jun,2014,6,1,2014,6,4,27,104.75,104.75,104.75,104.75,0,2305
M1M14,2014Jun,2014,6,1,2014,6,5,26,104.75,104.75,104.75,104.75,0,2305
M1M14,2014Jun,2014,6,1,2014,6,6,25,105.22,105.22,105.22,105.22,0,2305
M1M14,2014Jun,2014,6,1,2014,6,9,22,105.22,105.22,105.22,105.22,0,2305
M1M14,2014Jun,2014,6,1,2014,6,10,21,105.08,105.08,105.08,105.08,0,2305
M1M14,2014Jun,2014,6,1,2014,6,11,20,105.08,105.08,105.08,105.08,0,2305
M1M14,2014Jun,2014,6,1,2014,6,12,19,105.08,105.08,105.08,105.08,0,2305
M1M14,2014Jun,2014,6,1,2014,6,13,18,105.14,105.14,105.14,105.14,0,2305
M1M14,2014Jun,2014,6,1,2014,6,16,15,105.14,105.14,105.14,105.14,0,0
M1U14,2014Sep,2014,9,1,2014,4,17,167,102.24,102.24,102.24,102.24,0,0
M1U14,2014Sep,2014,9,1,2014,4,21,163,102.24,102.24,102.24,102.24,0,0
M1U14,2014Sep,2014,9,1,2014,4,22,162,102.11,102.24,102.11,102.11,0,0
