symbol,contract_month,expire_Year,expire_Month,expire_Day,tradingYear,tradingMonth,tradingDay_Day,days_to_expire,open,high,low,close,volume,openInterest
MBM09,2009Jun,2009,6,1,2009,3,20,103,1.444,1.444,1.444,1.444,0,0
MBM09,2009Jun,2009,6,1,2009,3,23,100,1.4546,1.4648,1.4455,1.4554,140,10
MBM09,2009Jun,2009,6,1,2009,3,24,99,1.47,1.4775,1.4556,1.4724,900,40
MBM09,2009Jun,2009,6,1,2009,3,25,98,1.4594,1.4743,1.4519,1.4531,1609,171
MBM09,2009Jun,2009,6,1,2009,3,26,97,1.4580000000000002,1.4638,1.4427,1.4439,2650,622
MBM09,2009Jun,2009,6,1,2009,3,27,96,1.4475,1.4493,1.4273,1.4306,799,890
MBM09,2009Jun,2009,6,1,2009,3,30,93,1.4159,1.4236,1.4115,1.4199,929,914
MBM09,2009Jun,2009,6,1,2009,3,31,92,1.4286,1.4364,1.4247,1.4348,1794,1366
MBM09,2009Jun,2009,6,1,2009,4,1,91,1.4313,1.4448,1.4278,1.4446,1750,618
MBM09,2009Jun,2009,6,1,2009,4,2,90,1.4465,1.4752,1.4458,1.4712,3126,1938
MBM09,2009Jun,2009,6,1,2009,4,3,89,1.4724,1.4846,1.4654,1.4825,1493,2145
MBM09,2009Jun,2009,6,1,2009,4,6,86,1.4892,1.496,1.4673,1.4726,987,1914
MBM09,2009Jun,2009,6,1,2009,4,7,85,1.4733,1.4777,1.4586,1.4728,707,1498
MBM09,2009Jun,2009,6,1,2009,4,8,84,1.4739,1.4748,1.4638,1.4685,510,1289
MBM09,2009Jun,2009,6,1,2009,4,9,83,1.4728,1.4777,1.4587,1.4632,917,865
MBM09,2009Jun,2009,6,1,2009,4,13,79,1.4659,1.4856,1.4609999999999999,1.4832,706,1236
MBM09,2009Jun,2009,6,1,2009,4,14,78,1.4852,1.4944,1.4828,1.4927,226,1194
MBM09,2009Jun,2009,6,1,2009,4,15,77,1.489,1.5037,1.4826,1.496,1248,1596
MBM09,2009Jun,2009,6,1,2009,4,16,76,1.5013,1.5067,1.4841,1.4922,1120,1507
MBM09,2009Jun,2009,6,1,2009,4,17,75,1.4880000000000002,1.494,1.4756,1.4791,872,1488
MBM09,2009Jun,2009,6,1,2009,4,20,72,1.4707,1.4809,1.4498,1.4543,257,1487
MBM09,2009Jun,2009,6,1,2009,4,21,71,1.4523,1.4708,1.4469,1.4665,1465,1915
MBM09,2009Jun,2009,6,1,2009,4,22,70,1.4675,1.4684,1.4399,1.4503,2871,1974
MBM09,2009Jun,2009,6,1,2009,4,23,69,1.4485,1.4696,1.4445,1.4694,2203,1954
MBM09,2009Jun,2009,6,1,2009,4,24,68,1.4715,1.4773,1.4576,1.4669,1630,2229
MBM09,2009Jun,2009,6,1,2009,4,27,65,1.4627,1.4693,1.4516,1.4636,1584,3336
MBM09,2009Jun,2009,6,1,2009,4,28,64,1.4613,1.469,1.4519,1.462,723,3393
MBM09,2009Jun,2009,6,1,2009,4,29,63,1.4627,1.4813,1.4619,1.4767,719,3172
MBM09,2009Jun,2009,6,1,2009,4,30,62,1.4752,1.4949,1.4703,1.482,2292,2307
MBM09,2009Jun,2009,6,1,2009,5,1,61,1.4817,1.4932,1.476,1.4922,624,2527
MBM09,2009Jun,2009,6,1,2009,5,4,58,1.4948,1.5009,1.4834,1.4961,457,2463
MBM09,2009Jun,2009,6,1,2009,5,5,57,1.5030000000000001,1.5161,1.4985,1.5069,874,2523
MBM09,2009Jun,2009,6,1,2009,5,6,56,1.5055,1.5135,1.4995,1.5131,1880,2507
MBM09,2009Jun,2009,6,1,2009,5,7,55,1.5146,1.5193,1.4944,1.4993,141,2541
MBM09,2009Jun,2009,6,1,2009,5,8,54,1.5035,1.5221,1.4969999999999999,1.5215,261,2577
MBM09,2009Jun,2009,6,1,2009,5,11,51,1.5198,1.5243,1.507,1.5133,210,2437
MBM09,2009Jun,2009,6,1,2009,5,12,50,1.5107,1.5348,1.5074,1.5271,938,2249
MBM09,2009Jun,2009,6,1,2009,5,13,49,1.5302,1.5331,1.5086,1.5168,960,2166
MBM09,2009Jun,2009,6,1,2009,5,14,48,1.5130000000000001,1.5246,1.5061,1.5230000000000001,279,2185
MBM09,2009Jun,2009,6,1,2009,5,15,47,1.5215,1.5285,1.5135,1.5159,449,677
MBM09,2009Jun,2009,6,1,2009,5,18,44,1.5173,1.5334,1.5119,1.5316,464,831
MBM09,2009Jun,2009,6,1,2009,5,19,43,1.534,1.5519999999999998,1.5296,1.5511,681,832
MBM09,2009Jun,2009,6,1,2009,5,20,42,1.5476,1.579,1.5452,1.5776,1661,1157
MBM09,2009Jun,2009,6,1,2009,5,21,41,1.5742,1.5887,1.5516,1.5837,2378,1246
MBM09,2009Jun,2009,6,1,2009,5,22,40,1.5847,1.5942,1.5759,1.5917,1508,1216
MBM09,2009Jun,2009,6,1,2009,5,26,36,1.587,1.5968,1.5778,1.5925,1889,1349
MBM09,2009Jun,2009,6,1,2009,5,27,35,1.5979,1.6082,1.5929,1.6045,2000,949
MBM09,2009Jun,2009,6,1,2009,5,28,34,1.5956,1.6013,1.5856,1.5951,2143,1092
MBM09,2009Jun,2009,6,1,2009,5,29,33,1.5971,1.6197,1.5921,1.6138,2035,1100
MBM09,2009Jun,2009,6,1,2009,6,1,30,1.6179,1.6498,1.6164,1.6445,779,976
MBM09,2009Jun,2009,6,1,2009,6,2,29,1.6412,1.6588,1.6328,1.6574,1136,941
MBM09,2009Jun,2009,6,1,2009,6,3,28,1.6586,1.666,1.6243,1.6277,1267,859
MBM09,2009Jun,2009,6,1,2009,6,4,27,1.6313,1.6432,1.6087,1.6193,2689,1250
MBM09,2009Jun,2009,6,1,2009,6,5,26,1.6117,1.6239,1.594,1.5975,2112,668
MBM09,2009Jun,2009,6,1,2009,6,8,23,1.5913,1.6069,1.5805,1.6046,741,509
MBM09,2009Jun,2009,6,1,2009,6,9,22,1.608,1.6358,1.5992,1.6334,1209,1072
MBM09,2009Jun,2009,6,1,2009,6,10,21,1.632,1.6473,1.6242,1.6308,834,922
MBM09,2009Jun,2009,6,1,2009,6,11,20,1.6355,1.6621,1.6349,1.659,756,749
MBM09,2009Jun,2009,6,1,2009,6,12,19,1.6451,1.6521,1.6331,1.6453,346,595
MBM09,2009Jun,2009,6,1,2009,6,15,16,1.6362,1.642,1.6322,1.6362,0,0
MBU09,2009Sep,2009,9,1,2009,3,20,195,1.4452,1.4452,1.4452,1.4452,0,0
MBU09,2009Sep,2009,9,1,2009,3,23,192,1.4565,1.4565,1.4565,1.4565,0,0
MBU09,2009Sep,2009,9,1,2009,3,24,191,1.4734,1.4734,1.4734,1.4734,0,0
MBU09,2009Sep,2009,9,1,2009,3,25,190,1.4541,1.4541,1.4541,1.4541,0,0
MBU09,2009Sep,2009,9,1,2009,3,26,189,1.4449,1.4449,1.4449,1.4449,0,0
MBU09,2009Sep,2009,9,1,2009,3,27,188,1.4315,1.4315,1.4315,1.4315,0,0
MBU09,2009Sep,2009,9,1,2009,3,30,185,1.4208,1.4208,1.4208,1.4208,0,0
MBU09,2009Sep,2009,9,1,2009,3,31,184,1.4357,1.4357,1.4357,1.4357,0,0
MBU09,2009Sep,2009,9,1,2009,4,1,183,1.4455,1.4455,1.4455,1.4455,0,0
MBU09,2009Sep,2009,9,1,2009,4,2,182,1.4721,1.4721,1.4721,1.4721,0,0
MBU09,2009Sep,2009,9,1,2009,4,3,181,1.4832,1.4832,1.4832,1.4832,0,0
MBU09,2009Sep,2009,9,1,2009,4,6,178,1.4733,1.4733,1.4733,1.4733,0,0
MBU09,2009Sep,2009,9,1,2009,4,7,177,1.4735,1.4735,1.4735,1.4735,0,0
MBU09,2009Sep,2009,9,1,2009,4,8,176,1.4692,1.4692,1.4692,1.4692,0,0
MBU09,2009Sep,2009,9,1,2009,4,9,175,1.4639,1.4639,1.4639,1.4639,0,0
MBU09,2009Sep,2009,9,1,2009,4,13,171,1.4839,1.4839,1.4839,1.4839,0,0
MBU09,2009Sep,2009,9,1,2009,4,14,170,1.4931,1.4931,1.4931,1.4931,0,0
MBU09,2009Sep,2009,9,1,2009,4,15,169,1.4963,1.4963,1.4963,1.4963,0,0
MBU09,2009Sep,2009,9,1,2009,4,16,168,1.4924,1.4924,1.4924,1.4924,0,0
MBU09,2009Sep,2009,9,1,2009,4,17,167,1.4792,1.4792,1.4792,1.4792,0,0
MBU09,2009Sep,2009,9,1,2009,4,20,164,1.4544,1.4544,1.4544,1.4544,0,0
MBU09,2009Sep,2009,9,1,2009,4,21,163,1.4666,1.4666,1.4666,1.4666,0,0
MBU09,2009Sep,2009,9,1,2009,4,22,162,1.4505,1.4505,1.4505,1.4505,0,0
MBU09,2009Sep,2009,9,1,2009,4,23,161,1.4696,1.4696,1.4696,1.4696,0,0
MBU09,2009Sep,2009,9,1,2009,4,24,160,1.4669999999999999,1.4669999999999999,1.4669999999999999,1.4669999999999999,0,0
MBU09,2009Sep,2009,9,1,2009,4,27,157,1.4637,1.4637,1.4637,1.4637,0,0
MBU09,2009Sep,2009,9,1,2009,4,28,156,1.4623,1.4623,1.4623,1.4623,0,0
MBU09,2009Sep,2009,9,1,2009,4,29,155,1.4769999999999999,1.4769999999999999,1.4769999999999999,1.4769999999999999,0,0
MBU09,2009Sep,2009,9,1,2009,4,30,154,1.4823,1.4823,1.4823,1.4823,0,0
MBU09,2009Sep,2009,9,1,2009,5,1,153,1.4924,1.4924,1.4924,1.4924,0,0
MBU09,2009Sep,2009,9,1,2009,5,4,150,1.4962,1.4962,1.4962,1.4962,0,0
MBU09,2009Sep,2009,9,1,2009,5,5,149,1.507,1.507,1.507,1.507,0,0
MBU09,2009Sep,2009,9,1,2009,5,6,148,1.5131,1.5131,1.5131,1.5131,0,0
MBU09,2009Sep,2009,9,1,2009,5,7,147,1.4992,1.4992,1.4992,1.4992,0,0
MBU09,2009Sep,2009,9,1,2009,5,8,146,1.5213,1.5213,1.5213,1.5213,0,0
MBU09,2009Sep,2009,9,1,2009,5,11,143,1.5130000000000001,1.5130000000000001,1.5130000000000001,1.5130000000000001,0,0
MBU09,2009Sep,2009,9,1,2009,5,12,142,1.5268,1.5268,1.5268,1.5268,0,0
MBU09,2009Sep,2009,9,1,2009,5,13,141,1.5165,1.5165,1.5165,1.5165,0,0
MBU09,2009Sep,2009,9,1,2009,5,14,140,1.5226,1.5226,1.5226,1.5226,0,0
MBU09,2009Sep,2009,9,1,2009,5,15,139,1.5156,1.5156,1.5156,1.5156,0,0
MBU09,2009Sep,2009,9,1,2009,5,18,136,1.5311,1.5311,1.5311,1.5311,0,0
MBU09,2009Sep,2009,9,1,2009,5,19,135,1.5504,1.5504,1.5504,1.5504,0,0
MBU09,2009Sep,2009,9,1,2009,5,20,134,1.5768,1.5768,1.5768,1.5768,0,0
MBU09,2009Sep,2009,9,1,2009,5,21,133,1.5830000000000002,1.5830000000000002,1.5507,1.5830000000000002,0,0
MBU09,2009Sep,2009,9,1,2009,5,22,132,1.5912,1.5912,1.5752,1.5912,0,0
MBU09,2009Sep,2009,9,1,2009,5,26,128,1.5919999999999999,1.5925,1.5919999999999999,1.5919999999999999,0,0
MBU09,2009Sep,2009,9,1,2009,5,27,127,1.604,1.604,1.604,1.604,0,0
MBU09,2009Sep,2009,9,1,2009,5,28,126,1.5945,1.5945,1.5945,1.5945,0,0
MBU09,2009Sep,2009,9,1,2009,5,29,125,1.6132,1.6132,1.6132,1.6132,0,0
MBU09,2009Sep,2009,9,1,2009,6,1,122,1.6440000000000001,1.6440000000000001,1.6440000000000001,1.6440000000000001,0,0
MBU09,2009Sep,2009,9,1,2009,6,2,121,1.6569999999999998,1.6569999999999998,1.6569999999999998,1.6569999999999998,0,0
MBU09,2009Sep,2009,9,1,2009,6,3,120,1.6272,1.6272,1.6272,1.6272,0,0
MBU09,2009Sep,2009,9,1,2009,6,4,119,1.6188,1.6188,1.6188,1.6188,0,0
MBU09,2009Sep,2009,9,1,2009,6,5,118,1.597,1.597,1.597,1.597,0,0
