symbol,contract_month,expire_Year,expire_Month,expire_Day,tradingYear,tradingMonth,tradingDay_Day,days_to_expire,open,high,low,close,volume,openInterest
MGM09,2009Jun,2009,6,1,2009,3,20,103,0.6831,0.6831,0.6831,0.6831,0,0
MGM09,2009Jun,2009,6,1,2009,3,23,100,0.6935,0.6996,0.6873,0.6995,392,14
MGM09,2009Jun,2009,6,1,2009,3,24,99,0.7005,0.7057,0.693,0.6963,588,476
MGM09,2009Jun,2009,6,1,2009,3,25,98,0.6942,0.7015,0.6895,0.6902,616,899
MGM09,2009Jun,2009,6,1,2009,3,26,97,0.6995,0.7009,0.6944,0.6977,196,1090
MGM09,2009Jun,2009,6,1,2009,3,27,96,0.6911,0.6996,0.6835,0.6886,316,1022
MGM09,2009Jun,2009,6,1,2009,3,30,93,0.6865,0.6889,0.674,0.675,319,989
MGM09,2009Jun,2009,6,1,2009,3,31,92,0.6783,0.6932,0.6758999,0.6924,665,1407
MGM09,2009Jun,2009,6,1,2009,4,1,91,0.6876,0.6942,0.6825,0.6941,296,1310
MGM09,2009Jun,2009,6,1,2009,4,2,90,0.696,0.7165,0.6946,0.7124,740,1139
MGM09,2009Jun,2009,6,1,2009,4,3,89,0.7133,0.7194999,0.7027,0.7139,1136,614
MGM09,2009Jun,2009,6,1,2009,4,6,86,0.7175,0.7176,0.705,0.7083,564,409
MGM09,2009Jun,2009,6,1,2009,4,7,85,0.7088,0.7137,0.7018,0.7083,330,321
MGM09,2009Jun,2009,6,1,2009,4,8,84,0.7067,0.7098,0.7004,0.7051,211,365
MGM09,2009Jun,2009,6,1,2009,4,9,83,0.7052,0.7172,0.7027,0.7142,255,337
MGM09,2009Jun,2009,6,1,2009,4,13,79,0.7173,0.7272,0.7158,0.7268,63,337
MGM09,2009Jun,2009,6,1,2009,4,14,78,0.7265,0.7290000000000001,0.7201,0.723,132,415
MGM09,2009Jun,2009,6,1,2009,4,15,77,0.7204,0.7247,0.7120000000000001,0.7194,655,337
MGM09,2009Jun,2009,6,1,2009,4,16,76,0.728,0.7284999,0.7111,0.7162,1111,900
MGM09,2009Jun,2009,6,1,2009,4,17,75,0.7182,0.72,0.7141,0.7168,266,999
MGM09,2009Jun,2009,6,1,2009,4,20,72,0.7181,0.7208998999999999,0.6937,0.6944,1019,1964
MGM09,2009Jun,2009,6,1,2009,4,21,71,0.6990000000000001,0.7103,0.6946,0.7073,587,1718
MGM09,2009Jun,2009,6,1,2009,4,22,70,0.7040000000000001,0.7091,0.6978,0.7084,573,1899
MGM09,2009Jun,2009,6,1,2009,4,23,69,0.7052,0.7124,0.7008,0.7104,864,1739
MGM09,2009Jun,2009,6,1,2009,4,24,68,0.7116,0.7203,0.7085,0.7198,337,1959
MGM09,2009Jun,2009,6,1,2009,4,27,65,0.7167,0.7172,0.7066,0.7086,420,2259
MGM09,2009Jun,2009,6,1,2009,4,28,64,0.7072,0.7078,0.6970000000000001,0.7052,390,2322
MGM09,2009Jun,2009,6,1,2009,4,29,63,0.7090000000000001,0.7276999,0.7033,0.7266999,494,1905
MGM09,2009Jun,2009,6,1,2009,4,30,62,0.7225,0.7363999,0.7212,0.7273,581,2062
MGM09,2009Jun,2009,6,1,2009,5,1,61,0.7236,0.7323,0.7223,0.7283999,236,2111
MGM09,2009Jun,2009,6,1,2009,5,4,58,0.7319998999999999,0.7390000000000001,0.7293,0.7357,294,1898
MGM09,2009Jun,2009,6,1,2009,5,5,57,0.738,0.7457,0.7358998999999999,0.7391999,548,1987
MGM09,2009Jun,2009,6,1,2009,5,6,56,0.7394,0.7481,0.7316999,0.747,575,1805
MGM09,2009Jun,2009,6,1,2009,5,7,55,0.7449,0.7594,0.7441,0.7504,1474,1746
MGM09,2009Jun,2009,6,1,2009,5,8,54,0.7523,0.7688,0.7490000000000001,0.7675,372,1911
MGM09,2009Jun,2009,6,1,2009,5,11,51,0.7665,0.7682,0.7565,0.7593,71,1879
MGM09,2009Jun,2009,6,1,2009,5,12,50,0.7577,0.7662,0.7546,0.7632,1358,692
MGM09,2009Jun,2009,6,1,2009,5,13,49,0.768,0.7684,0.7503,0.7523,237,639
MGM09,2009Jun,2009,6,1,2009,5,14,48,0.7515,0.7601,0.7452,0.7593,275,698
MGM09,2009Jun,2009,6,1,2009,5,15,47,0.754,0.7577,0.7462,0.747,427,566
MGM09,2009Jun,2009,6,1,2009,5,18,44,0.7466,0.7627,0.7439,0.7625,183,563
MGM09,2009Jun,2009,6,1,2009,5,19,43,0.7697,0.7769,0.7617,0.7765,388,562
MGM09,2009Jun,2009,6,1,2009,5,20,42,0.7732,0.7793,0.7674,0.7785,493,476
MGM09,2009Jun,2009,6,1,2009,5,21,41,0.775,0.7779,0.7657,0.774,457,536
MGM09,2009Jun,2009,6,1,2009,5,22,40,0.7771,0.7855,0.7761,0.7833,347,517
MGM09,2009Jun,2009,6,1,2009,5,26,36,0.7788,0.7853,0.7692,0.7833,484,605
MGM09,2009Jun,2009,6,1,2009,5,27,35,0.7857,0.7879999999999999,0.7808999,0.7816,231,677
MGM09,2009Jun,2009,6,1,2009,5,28,34,0.7781,0.7858999,0.775,0.7848,322,745
MGM09,2009Jun,2009,6,1,2009,5,29,33,0.7855,0.8001999,0.7826,0.7980999,390,861
MGM09,2009Jun,2009,6,1,2009,6,1,30,0.799,0.8143,0.7984998999999999,0.8102,459,868
MGM09,2009Jun,2009,6,1,2009,6,2,29,0.8072,0.8222,0.8046,0.8208,395,958
MGM09,2009Jun,2009,6,1,2009,6,3,28,0.8205,0.8253,0.7927999,0.7947,974,1025
MGM09,2009Jun,2009,6,1,2009,6,4,27,0.8025,0.8083999,0.7878,0.8018,1363,1022
MGM09,2009Jun,2009,6,1,2009,6,5,26,0.8019999,0.8116,0.7915,0.7944998999999999,727,482
MGM09,2009Jun,2009,6,1,2009,6,8,23,0.7862998999999999,0.7979,0.7826999,0.7866,534,574
MGM09,2009Jun,2009,6,1,2009,6,9,22,0.7898,0.8039,0.7848,0.8018,714,1130
MGM09,2009Jun,2009,6,1,2009,6,10,21,0.8111,0.8131,0.7968,0.8005999,400,1239
MGM09,2009Jun,2009,6,1,2009,6,11,20,0.8117,0.8236,0.8076,0.8221,276,1219
MGM09,2009Jun,2009,6,1,2009,6,12,19,0.8113,0.8149,0.8061,0.8128,591,1249
MGM09,2009Jun,2009,6,1,2009,6,15,16,0.7991,0.8092,0.7991,0.7991,0,0
MGU09,2009Sep,2009,9,1,2009,3,20,195,0.6805,0.6805,0.6805,0.6805,0,0
MGU09,2009Sep,2009,9,1,2009,3,23,192,0.6969,0.6969,0.6969,0.6969,0,0
MGU09,2009Sep,2009,9,1,2009,3,24,191,0.6934,0.6934,0.6934,0.6934,0,0
MGU09,2009Sep,2009,9,1,2009,3,25,190,0.6872,0.6872,0.6872,0.6872,0,0
MGU09,2009Sep,2009,9,1,2009,3,26,189,0.6946,0.6946,0.6946,0.6946,0,0
MGU09,2009Sep,2009,9,1,2009,3,27,188,0.6855,0.6855,0.6855,0.6855,0,0
MGU09,2009Sep,2009,9,1,2009,3,30,185,0.6720999,0.6720999,0.6720999,0.6720999,0,0
MGU09,2009Sep,2009,9,1,2009,3,31,184,0.6892,0.6892,0.6892,0.6892,0,0
MGU09,2009Sep,2009,9,1,2009,4,1,183,0.691,0.691,0.691,0.691,0,0
MGU09,2009Sep,2009,9,1,2009,4,2,182,0.7092,0.7092,0.7092,0.7092,0,0
MGU09,2009Sep,2009,9,1,2009,4,3,181,0.7092,0.7108,0.7090000000000001,0.7108,1,1
MGU09,2009Sep,2009,9,1,2009,4,6,178,0.7052,0.7052,0.7052,0.7052,0,1
MGU09,2009Sep,2009,9,1,2009,4,7,177,0.7049,0.7049,0.7049,0.7049,0,1
MGU09,2009Sep,2009,9,1,2009,4,8,176,0.7017,0.7017,0.7017,0.7017,0,1
MGU09,2009Sep,2009,9,1,2009,4,9,175,0.711,0.711,0.711,0.711,0,1
MGU09,2009Sep,2009,9,1,2009,4,13,171,0.7236,0.7236,0.7236,0.7236,0,1
MGU09,2009Sep,2009,9,1,2009,4,14,170,0.7196,0.7196,0.7196,0.7196,0,1
MGU09,2009Sep,2009,9,1,2009,4,15,169,0.716,0.716,0.716,0.716,0,1
MGU09,2009Sep,2009,9,1,2009,4,16,168,0.7128,0.7128,0.7128,0.7128,0,1
MGU09,2009Sep,2009,9,1,2009,4,17,167,0.7133999,0.7133999,0.7133999,0.7133999,0,1
