symbol,contract_month,expire_Year,expire_Month,expire_Day,tradingYear,tradingMonth,tradingDay_Day,days_to_expire,open,high,low,close,volume,openInterest
NBZ05,2005Dec,2005,12,1,2005,9,22,100,784.4,784.4,784.4,784.4,0,0
NBZ05,2005Dec,2005,12,1,2005,9,26,96,780.4,780.4,780.4,780.4,0,0
NBZ05,2005Dec,2005,12,1,2005,9,27,95,778.7,781.1,778.7,778.7,0,0
NBZ05,2005Dec,2005,12,1,2005,9,28,94,778.7,778.7,778.7,778.7,0,0
NBZ05,2005Dec,2005,12,1,2005,9,29,93,783.9,783.9,779.5,783.9,0,0
NBZ05,2005Dec,2005,12,1,2005,9,30,92,791.8,791.8,786.4,791.8,0,0
NBZ05,2005Dec,2005,12,1,2005,10,3,89,797.0,797.2,790.7,797.0,0,0
NBZ05,2005Dec,2005,12,1,2005,10,4,88,797.0,810.6,797.0,797.0,0,0
NBZ05,2005Dec,2005,12,1,2005,10,5,87,776.3,786.5,776.3,776.3,0,0
NBZ05,2005Dec,2005,12,1,2005,10,6,86,754.8,770.9,754.4,754.8,0,0
NBZ05,2005Dec,2005,12,1,2005,10,7,85,757.2,762.5,749.4,757.2,0,0
NBZ05,2005Dec,2005,12,1,2005,10,10,82,755.8,760.6,754.1,755.8,0,0
NBZ05,2005Dec,2005,12,1,2005,10,11,81,741.1,759.5,740.8,741.1,0,0
NBZ05,2005Dec,2005,12,1,2005,10,12,80,723.0,741.2,722.2,723.0,0,0
NBZ05,2005Dec,2005,12,1,2005,10,13,79,733.7,737.7,723.3,733.7,0,0
NBZ05,2005Dec,2005,12,1,2005,10,14,78,749.2,749.9,739.1,749.2,0,0
NBZ05,2005Dec,2005,12,1,2005,10,17,75,749.2,752.9,741.6,749.2,0,0
NBZ05,2005Dec,2005,12,1,2005,10,18,74,745.1,751.7,744.5,745.1,0,0
NBZ05,2005Dec,2005,12,1,2005,10,19,73,753.5,755.9,735.1,753.5,0,0
NBZ05,2005Dec,2005,12,1,2005,10,20,72,741.3,749.4,737.5,741.3,0,0
NBZ05,2005Dec,2005,12,1,2005,10,21,71,741.0,745.4,738.4,741.0,0,0
NBZ05,2005Dec,2005,12,1,2005,10,24,68,759.9,759.9,744.0,759.9,0,0
NBZ05,2005Dec,2005,12,1,2005,10,25,67,763.3,763.9,757.7,763.3,0,0
NBZ05,2005Dec,2005,12,1,2005,10,26,66,757.5,768.3,756.5,757.5,0,0
NBZ05,2005Dec,2005,12,1,2005,10,27,65,741.4,754.3,739.7,741.4,0,0
NBZ05,2005Dec,2005,12,1,2005,10,28,64,743.6,745.6,739.6,743.6,0,0
NBZ05,2005Dec,2005,12,1,2005,10,31,61,759.0,759.8,751.3,759.0,0,0
NBZ05,2005Dec,2005,12,1,2005,11,1,60,752.2,754.8,748.8,752.2,0,0
NBZ05,2005Dec,2005,12,1,2005,11,2,59,755.9,759.2,751.5,755.9,0,0
NBZ05,2005Dec,2005,12,1,2005,11,3,58,772.3,775.5,768.3,772.3,0,0
NBZ05,2005Dec,2005,12,1,2005,11,4,57,776.8,781.4,773.4,776.8,0,0
NBZ05,2005Dec,2005,12,1,2005,11,7,54,776.8,782.5,776.0,776.8,0,0
NBZ05,2005Dec,2005,12,1,2005,11,8,53,780.3,781.4,778.2,780.3,0,0
NBZ05,2005Dec,2005,12,1,2005,11,9,52,780.3,782.6,778.2,780.3,0,0
NBZ05,2005Dec,2005,12,1,2005,11,10,51,790.0,791.4,776.3,790.0,0,0
NBZ05,2005Dec,2005,12,1,2005,11,11,50,793.7,793.8,791.8,793.7,0,0
NBZ05,2005Dec,2005,12,1,2005,11,14,47,791.0,795.3,789.4,791.0,0,0
NBZ05,2005Dec,2005,12,1,2005,11,15,46,787.2,793.1,785.3,787.2,0,0
NBZ05,2005Dec,2005,12,1,2005,11,16,45,787.2,789.8,780.3,787.2,0,0
NBZ05,2005Dec,2005,12,1,2005,11,17,44,798.4,798.5,786.9,798.4,0,0
NBZ05,2005Dec,2005,12,1,2005,11,18,43,802.4,808.5,802.1,802.4,1,1
NBZ05,2005Dec,2005,12,1,2005,11,21,40,810.9,811.1,801.1,810.9,0,1
NBZ05,2005Dec,2005,12,1,2005,11,22,39,813.1,815.9,809.6,813.1,0,1
NBZ05,2005Dec,2005,12,1,2005,11,23,38,808.7,809.4,807.1,808.7,0,1
NBZ05,2005Dec,2005,12,1,2005,11,25,36,807.2,807.2,807.2,807.2,0,1
NBZ05,2005Dec,2005,12,1,2005,11,28,33,789.3,791.2,788.0,789.3,0,1
NBZ05,2005Dec,2005,12,1,2005,11,29,32,783.2,791.1,782.6,783.2,0,1
NBZ05,2005Dec,2005,12,1,2005,11,30,31,784.7,788.8,782.9,784.7,0,1
NBZ05,2005Dec,2005,12,1,2005,12,1,30,791.0,792.0,784.9,789.5,1,1
NBZ05,2005Dec,2005,12,1,2005,12,2,29,788.3,788.3,780.7,788.3,0,1
NBZ05,2005Dec,2005,12,1,2005,12,5,26,788.3,788.3,782.2,788.3,0,1
NBZ05,2005Dec,2005,12,1,2005,12,6,25,784.7,790.7,784.4,784.7,0,1
NBZ05,2005Dec,2005,12,1,2005,12,7,24,781.4,784.9,776.2,781.4,0,1
NBZ05,2005Dec,2005,12,1,2005,12,8,23,786.1,788.7,779.6,786.1,0,1
NBZ05,2005Dec,2005,12,1,2005,12,9,22,786.1,788.2,784.3,786.1,0,1
NBZ05,2005Dec,2005,12,1,2005,12,12,19,786.1,791.5,782.1,786.1,0,1
NBZ05,2005Dec,2005,12,1,2005,12,13,18,789.6,791.2,784.8,789.6,0,1
NBZ05,2005Dec,2005,12,1,2005,12,14,17,783.7,790.4,781.5,783.7,0,1
NBZ05,2005Dec,2005,12,1,2005,12,15,16,788.5,788.5,788.5,788.5,0,1
NBZ05,2005Dec,2005,12,1,2005,12,16,15,789.91,789.91,789.91,789.91,0,0
NBH06,2006Mar,2006,3,1,2005,9,22,190,792.6,792.6,792.6,792.6,0,0
NBH06,2006Mar,2006,3,1,2005,9,26,186,788.6,788.6,788.6,788.6,0,0
NBH06,2006Mar,2006,3,1,2005,9,27,185,788.6,789.2,787.2,788.6,0,0
NBH06,2006Mar,2006,3,1,2005,9,28,184,788.6,788.6,787.9,788.6,0,0
NBH06,2006Mar,2006,3,1,2005,9,29,183,793.8,793.8,787.8,793.8,0,0
NBH06,2006Mar,2006,3,1,2005,9,30,182,801.7,801.7,794.7,801.7,0,0
NBH06,2006Mar,2006,3,1,2005,10,3,179,805.5,805.9,799.2,805.5,0,0
NBH06,2006Mar,2006,3,1,2005,10,4,178,805.5,819.3,805.5,805.5,0,0
NBH06,2006Mar,2006,3,1,2005,10,5,177,784.6,795.0,784.6,784.6,0,0
NBH06,2006Mar,2006,3,1,2005,10,6,176,763.1,779.3,762.5,763.1,0,0
NBH06,2006Mar,2006,3,1,2005,10,7,175,765.4,770.8,757.6,765.4,0,0
NBH06,2006Mar,2006,3,1,2005,10,10,172,763.9,768.6,762.2,763.9,0,0
NBH06,2006Mar,2006,3,1,2005,10,11,171,749.2,767.8,749.0,749.2,0,0
NBH06,2006Mar,2006,3,1,2005,10,12,170,733.1,734.9,729.9,733.1,0,0
NBH06,2006Mar,2006,3,1,2005,10,13,169,741.8,745.7,731.3,741.8,0,0
NBH06,2006Mar,2006,3,1,2005,10,14,168,757.3,758.2,746.8,757.3,0,0
NBH06,2006Mar,2006,3,1,2005,10,17,165,757.3,761.1,749.7,757.3,0,0
NBH06,2006Mar,2006,3,1,2005,10,18,164,753.2,760.0,752.9,753.2,0,0
NBH06,2006Mar,2006,3,1,2005,10,19,163,761.7,764.2,743.0,761.7,0,0
NBH06,2006Mar,2006,3,1,2005,10,20,162,749.4,757.5,745.4,749.4,0,0
NBH06,2006Mar,2006,3,1,2005,10,21,161,749.0,753.1,746.4,749.0,0,0
NBH06,2006Mar,2006,3,1,2005,10,24,158,768.0,768.0,752.1,768.0,0,0
NBH06,2006Mar,2006,3,1,2005,10,25,157,771.6,772.2,765.5,771.6,0,0
NBH06,2006Mar,2006,3,1,2005,10,26,156,765.8,776.8,764.7,765.8,0,0
NBH06,2006Mar,2006,3,1,2005,10,27,155,749.5,762.5,747.5,749.5,0,0
NBH06,2006Mar,2006,3,1,2005,10,28,154,751.7,753.6,747.3,751.7,0,0
NBH06,2006Mar,2006,3,1,2005,10,31,151,767.1,767.7,759.2,767.1,0,0
NBH06,2006Mar,2006,3,1,2005,11,1,150,760.1,762.2,756.9,760.1,0,0
NBH06,2006Mar,2006,3,1,2005,11,2,149,763.9,767.6,759.4,763.9,0,0
NBH06,2006Mar,2006,3,1,2005,11,3,148,780.4,783.6,776.4,780.4,0,0
NBH06,2006Mar,2006,3,1,2005,11,4,147,784.9,789.8,781.5,784.9,0,0
NBH06,2006Mar,2006,3,1,2005,11,7,144,784.9,790.9,784.0,784.9,0,0
NBH06,2006Mar,2006,3,1,2005,11,8,143,788.4,789.4,786.4,788.4,0,0
NBH06,2006Mar,2006,3,1,2005,11,9,142,788.4,790.2,785.9,788.4,0,0
NBH06,2006Mar,2006,3,1,2005,11,10,141,798.2,799.1,784.3,798.2,0,0
NBH06,2006Mar,2006,3,1,2005,11,11,140,801.9,801.9,799.4,801.9,0,0
