symbol,contract_month,expire_Year,expire_Month,expire_Day,tradingYear,tradingMonth,tradingDay_Day,days_to_expire,open,high,low,close,volume,openInterest
NCZ03,2003Dec,2003,12,1,2003,10,26,66,1872.0,1888.5,1872.0,1885.0,279,99
NCZ03,2003Dec,2003,12,1,2003,10,28,64,1893.0,1938.5,1892.0,1936.5,225,92
NCZ03,2003Dec,2003,12,1,2003,10,29,63,1930.0,1941.0,1926.0,1937.5,409,88
NCZ03,2003Dec,2003,12,1,2003,10,30,62,1939.5,1966.5,1931.0,1940.0,363,48
NCZ03,2003Dec,2003,12,1,2003,10,31,61,1944.0,1944.5,1929.5,1934.0,176,40
NCZ03,2003Dec,2003,12,1,2003,11,3,58,1951.5,1972.0,1946.0,1968.0,66,43
NCZ03,2003Dec,2003,12,1,2003,11,4,57,1963.5,1971.5,1953.0,1958.0,154,125
NCZ03,2003Dec,2003,12,1,2003,11,5,56,1956.0,1968.0,1936.5,1965.0,490,155
NCZ03,2003Dec,2003,12,1,2003,11,6,55,1968.0,1982.0,1952.5,1976.0,215,267
NCZ03,2003Dec,2003,12,1,2003,11,7,54,1986.5,1990.5,1966.0,1967.0,134,249
NCZ03,2003Dec,2003,12,1,2003,11,10,51,1968.0,1972.0,1941.0,1944.0,71,256
NCZ03,2003Dec,2003,12,1,2003,11,11,50,1941.0,1945.5,1925.0,1933.5,191,187
NCZ03,2003Dec,2003,12,1,2003,11,12,49,1942.0,1978.5,1938.5,1971.0,140,186
NCZ03,2003Dec,2003,12,1,2003,11,13,48,1963.0,1980.5,1956.5,1968.0,356,157
NCZ03,2003Dec,2003,12,1,2003,11,14,47,1971.5,1978.5,1932.0,1935.0,134,182
NCZ03,2003Dec,2003,12,1,2003,11,17,44,1921.0,1921.0,1891.0,1906.5,198,211
NCZ03,2003Dec,2003,12,1,2003,11,18,43,1918.0,1924.0,1875.0,1877.0,279,248
NCZ03,2003Dec,2003,12,1,2003,11,19,42,1888.5,1902.0,1877.5,1894.5,115,251
NCZ03,2003Dec,2003,12,1,2003,11,20,41,1884.0,1915.5,1877.5,1877.5,200,205
NCZ03,2003Dec,2003,12,1,2003,11,21,40,1897.0,1898.5,1875.5,1896.5,109,231
NCZ03,2003Dec,2003,12,1,2003,11,24,37,1916.5,1947.0,1911.5,1943.0,140,189
NCZ03,2003Dec,2003,12,1,2003,11,25,36,1946.0,1957.0,1942.5,1946.0,114,177
NCZ03,2003Dec,2003,12,1,2003,11,26,35,1958.0,1960.0,1931.0,1955.0,91,201
NCZ03,2003Dec,2003,12,1,2003,11,28,33,1954.5,1963.5,1950.5,1961.0,11,194
NCZ03,2003Dec,2003,12,1,2003,12,1,30,1973.5,1989.0,1968.0,1988.5,152,218
NCZ03,2003Dec,2003,12,1,2003,12,2,29,1985.0,1997.0,1978.0,1978.0,114,236
NCZ03,2003Dec,2003,12,1,2003,12,3,28,1991.5,2000.0,1957.0,1957.5,191,225
NCZ03,2003Dec,2003,12,1,2003,12,4,27,1966.0,1971.5,1941.5,1967.5,198,185
NCZ03,2003Dec,2003,12,1,2003,12,5,26,1951.5,1958.0,1934.0,1942.0,133,180
NCZ03,2003Dec,2003,12,1,2003,12,8,23,1914.0,1949.5,1914.0,1949.0,226,161
NCZ03,2003Dec,2003,12,1,2003,12,9,22,1955.5,1955.5,1905.5,1907.0,104,174
NCZ03,2003Dec,2003,12,1,2003,12,10,21,1910.5,1916.0,1887.0,1904.0,175,169
NCZ03,2003Dec,2003,12,1,2003,12,11,20,1910.5,1944.0,1903.0,1936.5,34,157
NCZ03,2003Dec,2003,12,1,2003,12,12,19,1932.0,1943.5,1931.5,1943.5,4,155
NCZ03,2003Dec,2003,12,1,2003,12,15,16,1938.5,1958.0,1919.0,1919.0,1,156
NCZ03,2003Dec,2003,12,1,2003,12,16,15,1920.0,1920.0,1884.0,1920.0,1,156
NCZ03,2003Dec,2003,12,1,2003,12,17,14,1918.5,1918.5,1918.5,1918.5,0,156
NCZ03,2003Dec,2003,12,1,2003,12,18,13,1938.0,1952.5,1938.0,1952.5,4,153
NCZ03,2003Dec,2003,12,1,2003,12,19,12,1925.5,1959.97,1925.5,1959.97,0,0
NCH04,2004Mar,2004,3,1,2003,10,26,157,1889.0,1889.0,1889.0,1889.0,0,0
NCH04,2004Mar,2004,3,1,2003,10,28,155,1940.5,1940.5,1940.5,1940.5,0,0
NCH04,2004Mar,2004,3,1,2003,10,29,154,1941.5,1941.5,1941.5,1941.5,0,0
NCH04,2004Mar,2004,3,1,2003,10,30,153,1944.0,1944.0,1944.0,1944.0,0,0
NCH04,2004Mar,2004,3,1,2003,10,31,152,1938.0,1938.0,1938.0,1938.0,0,0
NCH04,2004Mar,2004,3,1,2003,11,3,149,1972.0,1972.0,1972.0,1972.0,0,0
NCH04,2004Mar,2004,3,1,2003,11,4,148,1962.0,1962.0,1962.0,1962.0,0,0
NCH04,2004Mar,2004,3,1,2003,11,5,147,1969.0,1969.0,1969.0,1969.0,0,0
NCH04,2004Mar,2004,3,1,2003,11,6,146,1980.0,1980.0,1980.0,1980.0,0,0
NCH04,2004Mar,2004,3,1,2003,11,7,145,1971.0,1971.0,1971.0,1971.0,0,0
