symbol,contract_month,expire_Year,expire_Month,expire_Day,tradingYear,tradingMonth,tradingDay_Day,days_to_expire,open,high,low,close,volume,openInterest
RDH13,2013Mar,2013,3,1,2012,12,3,118,100.2031,100.2031,100.1953,100.1953,9,3
RDH13,2013Mar,2013,3,1,2012,12,4,117,100.2109,100.2188,100.1953,100.2188,3,3
RDH13,2013Mar,2013,3,1,2012,12,5,116,100.25,100.25,100.2188,100.2422,4,3
RDH13,2013Mar,2013,3,1,2012,12,6,115,100.25,100.25,100.2344,100.2422,4,3
RDH13,2013Mar,2013,3,1,2012,12,7,114,100.2422,100.2422,100.2422,100.2422,1,3
RDH13,2013Mar,2013,3,1,2012,12,10,111,100.25,100.25,100.2422,100.2422,2,3
RDH13,2013Mar,2013,3,1,2012,12,11,110,100.25,100.25,100.2422,100.25,300,303
RDH13,2013Mar,2013,3,1,2012,12,12,109,100.2422,100.25,100.2266,100.2344,2003,3
RDH13,2013Mar,2013,3,1,2012,12,13,108,100.2266,100.2344,100.2188,100.2188,602,2
RDH13,2013Mar,2013,3,1,2012,12,14,107,100.2266,100.2422,100.2188,100.2188,202,2
RDH13,2013Mar,2013,3,1,2012,12,17,104,100.2031,100.2031,100.2031,100.2031,0,2
RDH13,2013Mar,2013,3,1,2012,12,18,103,100.1641,100.2031,100.1484,100.1484,500,502
RDH13,2013Mar,2013,3,1,2012,12,19,102,100.1406,100.1484,100.1406,100.1406,0,502
RDH13,2013Mar,2013,3,1,2012,12,20,101,100.1406,100.1406,100.1406,100.1406,500,1002
RDH13,2013Mar,2013,3,1,2012,12,21,100,100.1406,100.1406,100.1406,100.1406,0,1002
RDH13,2013Mar,2013,3,1,2012,12,24,97,100.1016,100.1406,100.1016,100.1016,80,1002
RDH13,2013Mar,2013,3,1,2012,12,26,95,100.1016,100.1016,100.1016,100.1016,65,1002
RDH13,2013Mar,2013,3,1,2012,12,27,94,100.1328,100.1328,100.1016,100.1328,0,1002
RDH13,2013Mar,2013,3,1,2012,12,28,93,100.1484,100.1484,100.1328,100.1484,0,1002
RDH13,2013Mar,2013,3,1,2012,12,31,90,100.1875,100.1875,100.1484,100.1875,200,802
RDH13,2013Mar,2013,3,1,2013,1,2,88,100.1719,100.1875,100.1719,100.1719,1,801
RDH13,2013Mar,2013,3,1,2013,1,3,87,100.1641,100.1719,100.1484,100.1484,660,977
RDH13,2013Mar,2013,3,1,2013,1,4,86,100.1406,100.1484,100.1406,100.1406,0,977
RDH13,2013Mar,2013,3,1,2013,1,7,83,100.1484,100.1563,100.1484,100.1484,304,981
RDH13,2013Mar,2013,3,1,2013,1,8,82,100.1719,100.1719,100.1719,100.1719,0,981
