symbol,contract_month,expire_Year,expire_Month,expire_Day,tradingYear,tradingMonth,tradingDay_Day,days_to_expire,open,high,low,close,volume,openInterest
RQH13,2013Mar,2013,3,1,2012,12,3,118,102.1563,102.3906,102.1563,102.3594,715,251
RQH13,2013Mar,2013,3,1,2012,12,4,117,102.4063,102.5313,102.3594,102.4688,461,651
RQH13,2013Mar,2013,3,1,2012,12,5,116,102.625,102.6719,102.4688,102.625,566,803
RQH13,2013Mar,2013,3,1,2012,12,6,115,102.7813,102.8438,102.625,102.7344,2281,3083
RQH13,2013Mar,2013,3,1,2012,12,7,114,102.7656,102.8281,102.2656,102.2969,761,3263
RQH13,2013Mar,2013,3,1,2012,12,10,111,102.4844,102.4844,102.2656,102.3438,976,3729
RQH13,2013Mar,2013,3,1,2012,12,11,110,102.0781,102.3438,102.0313,102.125,1210,3419
RQH13,2013Mar,2013,3,1,2012,12,12,109,102.0625,102.2188,101.6563,101.7344,1661,3483
RQH13,2013Mar,2013,3,1,2012,12,13,108,101.4375,101.7344,101.375,101.4688,315,3482
RQH13,2013Mar,2013,3,1,2012,12,14,107,101.5469,101.5625,101.5313,101.5625,1037,4518
RQH13,2013Mar,2013,3,1,2012,12,17,104,101.4844,101.4844,101.0625,101.0625,401,4718
RQH13,2013Mar,2013,3,1,2012,12,18,103,100.8906,101.0625,100.4531,100.4531,717,4568
RQH13,2013Mar,2013,3,1,2012,12,19,102,100.8438,100.8594,100.4531,100.7656,181,4618
RQH13,2013Mar,2013,3,1,2012,12,20,101,100.875,100.9063,100.7656,100.7656,260,4618
RQH13,2013Mar,2013,3,1,2012,12,21,100,101.0938,101.1719,101.0156,101.1563,218,4664
RQH13,2013Mar,2013,3,1,2012,12,24,97,100.8906,101.1563,100.8906,100.9219,116,4663
RQH13,2013Mar,2013,3,1,2012,12,26,95,100.9531,101.0469,100.9219,101.0469,15,4678
RQH13,2013Mar,2013,3,1,2012,12,27,94,101.0,101.4531,101.0,101.4531,215,4778
RQH13,2013Mar,2013,3,1,2012,12,28,93,101.4375,101.5469,101.4375,101.5469,130,4886
RQH13,2013Mar,2013,3,1,2012,12,31,90,101.25,101.25,101.2344,101.25,10,4886
RQH13,2013Mar,2013,3,1,2013,1,2,88,100.4375,101.25,100.4375,100.5313,270,5080
RQH13,2013Mar,2013,3,1,2013,1,3,87,100.4375,100.5313,99.9375,100.0,1433,5992
RQH13,2013Mar,2013,3,1,2013,1,4,86,99.67188,99.9375,99.60938,99.92188,666,6062
RQH13,2013Mar,2013,3,1,2013,1,7,83,100.0469,100.1719,99.92188,100.0938,227,6076
RQH13,2013Mar,2013,3,1,2013,1,8,82,100.3594,100.5156,100.0938,100.3906,652,6315
RQH13,2013Mar,2013,3,1,2013,1,9,81,100.5625,100.5938,100.5313,100.5938,404,6070
RQH13,2013Mar,2013,3,1,2013,1,10,80,100.25,100.5938,100.2188,100.2188,200,6070
RQH13,2013Mar,2013,3,1,2013,1,11,79,100.3281,100.4688,100.3281,100.3281,190,5880
RQH13,2013Mar,2013,3,1,2013,1,14,76,100.6406,100.6406,100.5,100.5781,522,5898
RQH13,2013Mar,2013,3,1,2013,1,15,75,101.0313,101.0313,100.75,100.7969,201,5899
RQH13,2013Mar,2013,3,1,2013,1,16,74,101.0,101.0,100.7969,100.875,210,5908
RQH13,2013Mar,2013,3,1,2013,1,17,73,100.5313,100.875,100.2031,100.2656,786,6076
RQH13,2013Mar,2013,3,1,2013,1,18,72,100.5,100.5781,100.2656,100.5313,116,6186
RQH13,2013Mar,2013,3,1,2013,1,22,68,100.3125,100.5938,100.2656,100.5938,203,6196
RQH13,2013Mar,2013,3,1,2013,1,23,67,100.75,100.75,100.625,100.625,401,6496
RQH13,2013Mar,2013,3,1,2013,1,24,66,100.7344,100.7813,100.3125,100.5625,4428,5266
RQH13,2013Mar,2013,3,1,2013,1,25,65,99.84375,100.5625,99.53125,99.53125,328,5142
RQH13,2013Mar,2013,3,1,2013,1,28,62,98.98438,99.53125,98.98438,99.21875,702,5490
RQH13,2013Mar,2013,3,1,2013,1,29,61,99.35938,99.39063,99.03125,99.09375,792,5315
RQH13,2013Mar,2013,3,1,2013,1,30,60,98.85938,99.01563,98.59375,98.85938,1480,5815
RQH13,2013Mar,2013,3,1,2013,1,31,59,99.15625,99.17188,98.84375,99.07813,1378,5904
RQH13,2013Mar,2013,3,1,2013,2,1,58,98.85938,99.59375,98.6875,98.71875,1328,6266
RQH13,2013Mar,2013,3,1,2013,2,4,55,98.95313,99.10938,98.71875,99.0625,730,6396
RQH13,2013Mar,2013,3,1,2013,2,5,54,98.67188,99.0625,98.67188,98.6875,625,6521
RQH13,2013Mar,2013,3,1,2013,2,6,53,98.98438,99.21875,98.6875,99.20313,1735,6120
RQH13,2013Mar,2013,3,1,2013,2,7,52,99.20313,99.54688,99.20313,99.35938,1803,6588
RQH13,2013Mar,2013,3,1,2013,2,8,51,99.51563,99.51563,99.09375,99.3125,591,6932
RQH13,2013Mar,2013,3,1,2013,2,11,48,99.20313,99.4375,99.20313,99.4375,210,7132
RQH13,2013Mar,2013,3,1,2013,2,12,47,99.20313,99.4375,99.04688,99.04688,312,7135
RQH13,2013Mar,2013,3,1,2013,2,13,46,98.8125,99.04688,98.65625,98.73438,528,7434
RQH13,2013Mar,2013,3,1,2013,2,14,45,98.78125,99.15625,98.73438,99.14063,850,7684
RQH13,2013Mar,2013,3,1,2013,2,15,44,99.09375,99.14063,98.82813,99.04688,940,8017
RQH13,2013Mar,2013,3,1,2013,2,19,40,99.14063,99.14063,98.8125,98.875,546,8063
RQH13,2013Mar,2013,3,1,2013,2,20,39,98.70313,99.0,98.70313,98.90625,685,8134
RQH13,2013Mar,2013,3,1,2013,2,21,38,99.3125,99.4375,98.90625,99.34375,811,8153
RQH13,2013Mar,2013,3,1,2013,2,22,37,99.28125,99.45313,99.25,99.45313,2367,6844
