symbol,contract_month,expire_Year,expire_Month,expire_Day,tradingYear,tradingMonth,tradingDay_Day,days_to_expire,open,high,low,close,volume,openInterest
RWH13,2013Mar,2013,3,1,2012,12,3,118,102.9688,103.2813,102.9688,103.25,4,2
RWH13,2013Mar,2013,3,1,2012,12,4,117,103.5938,103.8125,103.25,103.8125,74,8
RWH13,2013Mar,2013,3,1,2012,12,5,116,103.8438,103.9688,103.6563,103.8438,120,100
RWH13,2013Mar,2013,3,1,2012,12,6,115,103.9688,104.3438,103.7188,103.9688,319,383
RWH13,2013Mar,2013,3,1,2012,12,7,114,102.9063,103.9688,102.6875,102.7188,192,473
RWH13,2013Mar,2013,3,1,2012,12,10,111,102.7188,102.8125,102.5625,102.8125,122,473
RWH13,2013Mar,2013,3,1,2012,12,11,110,102.125,102.8125,102.125,102.125,0,473
RWH13,2013Mar,2013,3,1,2012,12,12,109,101.75,102.125,100.9375,100.9375,319,477
RWH13,2013Mar,2013,3,1,2012,12,13,108,100.6563,101.0,100.4688,100.6875,538,59
RWH13,2013Mar,2013,3,1,2012,12,14,107,101.1563,101.1563,100.6875,101.1563,0,59
RWH13,2013Mar,2013,3,1,2012,12,17,104,101.0625,101.0625,99.90625,99.90625,73,11
RWH13,2013Mar,2013,3,1,2012,12,18,103,98.03125,99.90625,98.03125,98.03125,0,11
RWH13,2013Mar,2013,3,1,2012,12,19,102,98.9375,98.9375,98.6875,98.84375,55,27
RWH13,2013Mar,2013,3,1,2012,12,20,101,98.8125,98.84375,98.8125,98.8125,0,27
RWH13,2013Mar,2013,3,1,2012,12,21,100,99.59375,99.59375,98.8125,99.59375,0,27
RWH13,2013Mar,2013,3,1,2012,12,24,97,99.40625,99.59375,99.40625,99.40625,0,27
RWH13,2013Mar,2013,3,1,2012,12,26,95,99.40625,99.40625,99.40625,99.40625,0,27
RWH13,2013Mar,2013,3,1,2012,12,27,94,100.1563,100.1563,99.40625,100.1563,0,27
RWH13,2013Mar,2013,3,1,2012,12,28,93,100.1563,100.1563,100.1563,100.1563,0,27
RWH13,2013Mar,2013,3,1,2012,12,31,90,99.125,100.1563,99.125,99.125,0,27
RWH13,2013Mar,2013,3,1,2013,1,2,88,97.09375,99.125,97.0,97.0,150,61
RWH13,2013Mar,2013,3,1,2013,1,3,87,96.9375,97.0,96.15625,96.15625,300,310
RWH13,2013Mar,2013,3,1,2013,1,4,86,95.46875,96.375,95.46875,96.375,125,330
RWH13,2013Mar,2013,3,1,2013,1,7,83,96.59375,96.59375,96.375,96.5625,26,330
RWH13,2013Mar,2013,3,1,2013,1,8,82,97.0625,97.375,97.0625,97.0625,200,430
RWH13,2013Mar,2013,3,1,2013,1,9,81,97.28125,97.375,97.0625,97.375,150,330
RWH13,2013Mar,2013,3,1,2013,1,10,80,96.5625,97.375,96.5,96.875,233,330
RWH13,2013Mar,2013,3,1,2013,1,11,79,97.03125,97.03125,96.875,97.03125,0,330
