symbol,contract_month,expire_Year,expire_Month,expire_Day,tradingYear,tradingMonth,tradingDay_Day,days_to_expire,open,high,low,close,volume,openInterest
SAZ15,2015Dec,2015,12,1,2015,9,25,97,102.2188,102.2188,102.2188,102.2188,0,0
SAZ15,2015Dec,2015,12,1,2015,9,28,94,102.2188,102.2188,102.2188,102.2188,0,0
SAZ15,2015Dec,2015,12,1,2015,9,29,93,102.2188,102.2188,102.2188,102.2188,0,0
SAZ15,2015Dec,2015,12,1,2015,9,30,92,103.1094,103.1719,103.0469,103.0781,190,190
SAZ15,2015Dec,2015,12,1,2015,10,1,91,103.0313,103.2031,102.9688,103.0,300,490
SAZ15,2015Dec,2015,12,1,2015,10,2,90,102.875,104.0156,102.8594,103.4063,380,870
SAZ15,2015Dec,2015,12,1,2015,10,5,87,103.0313,103.4375,102.9844,103.0313,0,870
SAZ15,2015Dec,2015,12,1,2015,10,6,86,103.0625,103.1563,102.9219,103.0938,70,940
SAZ15,2015Dec,2015,12,1,2015,10,7,85,103.0156,103.0156,102.8438,103.0156,0,940
SAZ15,2015Dec,2015,12,1,2015,10,8,84,102.7344,103.125,102.625,102.7344,0,940
SAZ15,2015Dec,2015,12,1,2015,10,9,83,102.7344,102.7969,102.5938,102.7344,0,940
SAZ15,2015Dec,2015,12,1,2015,10,12,80,102.7344,102.7344,102.7344,102.7344,0,940
SAZ15,2015Dec,2015,12,1,2015,10,13,79,102.9063,103.1719,102.9063,103.0625,30,970
SAZ15,2015Dec,2015,12,1,2015,10,14,78,103.4844,103.9375,103.4844,103.7969,64,980
SAZ15,2015Dec,2015,12,1,2015,10,15,77,103.4688,103.8594,103.4688,103.4688,150,1070
SAZ15,2015Dec,2015,12,1,2015,10,16,76,103.4063,103.6406,103.3125,103.4063,0,1070
SAZ15,2015Dec,2015,12,1,2015,10,19,73,103.375,103.375,103.1719,103.375,0,1070
SAZ15,2015Dec,2015,12,1,2015,10,20,72,103.0938,103.0938,103.0313,103.0938,40,1070
SAZ15,2015Dec,2015,12,1,2015,10,21,71,103.2813,103.3906,103.2813,103.2813,0,1070
SAZ15,2015Dec,2015,12,1,2015,10,22,70,103.2031,103.4688,103.1875,103.3438,10,1060
SAZ15,2015Dec,2015,12,1,2015,10,23,69,103.0156,103.0156,102.9531,103.0156,40,1060
SAZ15,2015Dec,2015,12,1,2015,10,26,66,103.25,103.3125,103.0,103.25,0,1060
SAZ15,2015Dec,2015,12,1,2015,10,27,65,103.4688,103.625,103.4688,103.4688,0,1060
SAZ15,2015Dec,2015,12,1,2015,10,28,64,102.9844,102.9844,102.9219,102.9844,0,1060
SAZ15,2015Dec,2015,12,1,2015,10,29,63,102.5625,102.5625,102.5156,102.5625,130,930
SAZ15,2015Dec,2015,12,1,2015,10,30,62,102.625,102.7031,102.4844,102.625,0,930
SAZ15,2015Dec,2015,12,1,2015,11,2,59,102.4844,102.6719,102.4375,102.4844,0,930
SAZ15,2015Dec,2015,12,1,2015,11,3,58,102.4063,102.5313,102.3281,102.3438,210,1090
SAZ15,2015Dec,2015,12,1,2015,11,4,57,102.375,102.5156,102.2344,102.3281,110,980
SAZ15,2015Dec,2015,12,1,2015,11,5,56,102.5313,102.6094,102.3125,102.3906,65,945
SAZ15,2015Dec,2015,12,1,2015,11,6,55,101.5469,102.4063,101.4844,101.5313,293,888
SAZ15,2015Dec,2015,12,1,2015,11,9,52,101.5469,101.5625,101.1875,101.5469,0,888
SAZ15,2015Dec,2015,12,1,2015,11,10,51,101.7031,101.7344,101.5625,101.7344,330,818
SAZ15,2015Dec,2015,12,1,2015,11,11,50,101.7344,101.7344,101.7344,101.7344,0,818
SAZ15,2015Dec,2015,12,1,2015,11,12,49,101.7188,101.7813,101.5469,101.6875,150,788
SAZ15,2015Dec,2015,12,1,2015,11,13,48,101.9688,102.0469,101.9375,101.9844,120,848
SAZ15,2015Dec,2015,12,1,2015,11,16,45,102.1563,102.25,102.0469,102.0938,360,848
SAZ15,2015Dec,2015,12,1,2015,11,17,44,102.0469,102.25,101.8906,102.1563,420,1268
SAZ15,2015Dec,2015,12,1,2015,11,18,43,102.0469,102.2188,101.9844,102.1563,160,1348
SAZ15,2015Dec,2015,12,1,2015,11,19,42,102.4375,102.5,102.4219,102.4375,75,1348
SAZ15,2015Dec,2015,12,1,2015,11,20,41,102.5313,102.5313,102.4219,102.4219,98,1398
SAZ15,2015Dec,2015,12,1,2015,11,23,38,102.3281,102.3438,102.3281,102.3438,60,1458
SAZ15,2015Dec,2015,12,1,2015,11,24,37,102.3281,102.3281,102.3281,102.3281,0,1458
SAZ15,2015Dec,2015,12,1,2015,11,25,36,102.4063,102.4063,102.4063,102.4063,0,1458
SAZ15,2015Dec,2015,12,1,2015,11,27,34,102.4531,102.4531,102.4531,102.4531,0,1458
SAZ15,2015Dec,2015,12,1,2015,11,30,31,102.5781,102.5781,102.5781,102.5781,0,1458
SAZ15,2015Dec,2015,12,1,2015,12,1,30,102.875,102.875,102.875,102.875,70,1528
SAZ15,2015Dec,2015,12,1,2015,12,2,29,102.6719,102.6719,102.6719,102.6719,0,1528
SAZ15,2015Dec,2015,12,1,2015,12,3,28,101.9844,101.9844,101.8281,101.8281,70,1598
SAZ15,2015Dec,2015,12,1,2015,12,4,27,101.9375,102.1563,101.9375,102.1406,110,1548
SAZ15,2015Dec,2015,12,1,2015,12,7,24,102.3281,102.3281,102.3281,102.3281,1450,113
SAZ15,2015Dec,2015,12,1,2015,12,8,23,102.3281,102.3281,102.3281,102.3281,0,98
SAZ15,2015Dec,2015,12,1,2015,12,9,22,102.4688,102.4688,102.4688,102.4688,0,98
SAZ15,2015Dec,2015,12,1,2015,12,10,21,102.1875,102.1875,102.1875,102.1875,0,98
SAZ15,2015Dec,2015,12,1,2015,12,11,20,102.7031,102.7031,102.7031,102.7031,0,98
SAZ15,2015Dec,2015,12,1,2015,12,14,17,102.4219,102.4219,102.4219,102.4219,0,0
SAH16,2016Mar,2016,3,1,2015,9,25,188,101.6875,101.6875,101.6875,101.6875,0,0
SAH16,2016Mar,2016,3,1,2015,9,28,185,101.6875,101.6875,101.6875,101.6875,0,0
