symbol,contract_month,expire_Year,expire_Month,expire_Day,tradingYear,tradingMonth,tradingDay_Day,days_to_expire,open,high,low,close,volume,openInterest
WKH11,2011Mar,2011,3,1,2010,12,17,104,0.9877,0.9877,0.9877,0.9877,0,0
WKH11,2011Mar,2011,3,1,2010,12,20,101,0.9807001000000001,0.9807001000000001,0.9779001,0.9807001000000001,0,0
WKH11,2011Mar,2011,3,1,2010,12,21,100,0.9776,0.9831,0.9776,0.9799001,9,0
WKH11,2011Mar,2011,3,1,2010,12,22,99,0.9848,0.9848,0.9848,0.9848,0,0
WKH11,2011Mar,2011,3,1,2010,12,23,98,0.9900001,0.9900001,0.9900001,0.9900001,0,0
WKH11,2011Mar,2011,3,1,2010,12,27,94,0.9912,0.9924001,0.9878001000000001,0.9912,0,0
WKH11,2011Mar,2011,3,1,2010,12,28,93,0.9986,0.9986,0.9986,0.9986,0,0
WKH11,2011Mar,2011,3,1,2010,12,29,92,0.9981,1.0009,0.9932001,0.9981,0,0
WKH11,2011Mar,2011,3,1,2010,12,30,91,0.9988,0.9994001,0.9988,0.9988,3,3
WKH11,2011Mar,2011,3,1,2010,12,31,90,1.0047,1.0047,1.0044,1.0044,1,3
WKH11,2011Mar,2011,3,1,2011,1,3,87,1.0077,1.0095,1.0038,1.0067,1,3
WKH11,2011Mar,2011,3,1,2011,1,4,86,0.9967,0.9998,0.9952,0.9989001000000001,3,3
WKH11,2011Mar,2011,3,1,2011,1,5,85,1.0024,1.0051,0.9964001,1.0024,0,3
WKH11,2011Mar,2011,3,1,2011,1,6,84,1.0047,1.0059,0.9993001,1.0024,1,4
WKH11,2011Mar,2011,3,1,2011,1,7,83,1.0063,1.0087,0.9985,1.0063,0,4
WKH11,2011Mar,2011,3,1,2011,1,10,80,1.0052,1.0074,1.0004,1.0052,0,4
WKH11,2011Mar,2011,3,1,2011,1,11,79,1.0057,1.0094,1.0038,1.0081,4,4
WKH11,2011Mar,2011,3,1,2011,1,12,78,1.0102,1.0132,1.0092,1.011,16,14
WKH11,2011Mar,2011,3,1,2011,1,13,77,1.0096,1.0131,1.008,1.0096,0,14
WKH11,2011Mar,2011,3,1,2011,1,14,76,1.003,1.0101,1.0013,1.0094,3,14
WKH11,2011Mar,2011,3,1,2011,1,18,72,1.01,1.0151,1.0057,1.0065,32,33
WKH11,2011Mar,2011,3,1,2011,1,19,71,1.0027,1.0099,1.0023,1.0027,0,33
WKH11,2011Mar,2011,3,1,2011,1,20,70,1.0016,1.0035,1.0014,1.0017,5,38
WKH11,2011Mar,2011,3,1,2011,1,21,69,1.0042,1.0059,1.0042,1.0042,1,37
WKH11,2011Mar,2011,3,1,2011,1,24,66,1.004,1.0070000000000001,1.0008,1.004,0,37
WKH11,2011Mar,2011,3,1,2011,1,25,65,0.9994001,1.0076,0.9987001,0.9994001,1,37
WKH11,2011Mar,2011,3,1,2011,1,26,64,1.0016,1.0052,1.001,1.0037,1,38
WKH11,2011Mar,2011,3,1,2011,1,27,63,1.0051,1.0052,1.0051,1.0051,4,42
WKH11,2011Mar,2011,3,1,2011,1,28,62,1.0028,1.0028,0.9989001000000001,0.9989001000000001,5,42
WKH11,2011Mar,2011,3,1,2011,1,31,59,0.9978001,1.0027,0.9933,0.9978001,0,42
WKH11,2011Mar,2011,3,1,2011,2,1,58,1.0014,1.0092,0.9999,1.0070000000000001,13,54
WKH11,2011Mar,2011,3,1,2011,2,2,57,1.0111,1.0133,1.0077,1.011,10,58
WKH11,2011Mar,2011,3,1,2011,2,3,56,1.0125,1.0126,1.0071,1.0093,6,57
WKH11,2011Mar,2011,3,1,2011,2,4,55,1.0093,1.0162,1.0079,1.0115,16,57
WKH11,2011Mar,2011,3,1,2011,2,7,52,1.011,1.0135,1.0089,1.0092,11,61
WKH11,2011Mar,2011,3,1,2011,2,8,51,1.0112,1.0124,1.0016,1.0033,23,68
WKH11,2011Mar,2011,3,1,2011,2,9,50,1.0055,1.0077,1.0039,1.0044,19,77
WKH11,2011Mar,2011,3,1,2011,2,10,49,1.0018,1.0055,1.0007,1.0037,95,86
WKH11,2011Mar,2011,3,1,2011,2,11,48,1.0025,1.0125,1.0009,1.0121,65,119
