symbol,contract_month,expire_Year,expire_Month,expire_Day,tradingYear,tradingMonth,tradingDay_Day,days_to_expire,open,high,low,close,volume,openInterest
WMH11,2011Mar,2011,3,1,2010,12,17,104,1.1932,1.1932,1.1932,1.1932,0,0
WMH11,2011Mar,2011,3,1,2010,12,20,101,1.193,1.197,1.193,1.1949,6,0
WMH11,2011Mar,2011,3,1,2010,12,21,100,1.195,1.1988,1.1931,1.195,0,0
WMH11,2011Mar,2011,3,1,2010,12,22,99,1.1964,1.1974,1.1964,1.1974,13,3
WMH11,2011Mar,2011,3,1,2010,12,23,98,1.2018,1.2072,1.2004,1.2072,4,3
WMH11,2011Mar,2011,3,1,2010,12,27,94,1.2065,1.2109999999999999,1.206,1.2084,2,3
WMH11,2011Mar,2011,3,1,2010,12,28,93,1.2147,1.2147,1.2147,1.2147,0,3
WMH11,2011Mar,2011,3,1,2010,12,29,92,1.2144,1.226,1.2144,1.226,1,2
WMH11,2011Mar,2011,3,1,2010,12,30,91,1.2278,1.2309,1.2278,1.2278,0,2
WMH11,2011Mar,2011,3,1,2010,12,31,90,1.2297,1.2328,1.2297,1.2328,3,1
WMH11,2011Mar,2011,3,1,2011,1,3,87,1.2258,1.2338,1.2246,1.226,1,1
WMH11,2011Mar,2011,3,1,2011,1,4,86,1.2206,1.2261,1.2165,1.2206,0,1
WMH11,2011Mar,2011,3,1,2011,1,5,85,1.2197,1.222,1.2002,1.2009999999999998,2,1
WMH11,2011Mar,2011,3,1,2011,1,6,84,1.2049,1.2073,1.2,1.2016,8,1
WMH11,2011Mar,2011,3,1,2011,1,7,83,1.2051,1.2076,1.1957,1.2051,0,1
WMH11,2011Mar,2011,3,1,2011,1,10,80,1.2085,1.2102,1.2017,1.2085,0,1
WMH11,2011Mar,2011,3,1,2011,1,11,79,1.206,1.2097,1.1985,1.202,6,3
WMH11,2011Mar,2011,3,1,2011,1,12,78,1.203,1.2082,1.1989,1.207,3,4
WMH11,2011Mar,2011,3,1,2011,1,13,77,1.2046,1.2119,1.2034,1.2096,4,8
WMH11,2011Mar,2011,3,1,2011,1,14,76,1.207,1.2138,1.2045,1.2054,1,9
WMH11,2011Mar,2011,3,1,2011,1,18,72,1.2099,1.215,1.2055,1.2117,9,9
WMH11,2011Mar,2011,3,1,2011,1,19,71,1.2205,1.2222,1.2101,1.219,1,9
WMH11,2011Mar,2011,3,1,2011,1,20,70,1.2165,1.2192,1.2036,1.2049,24,19
WMH11,2011Mar,2011,3,1,2011,1,21,69,1.207,1.2117,1.2042,1.2109,11,30
WMH11,2011Mar,2011,3,1,2011,1,24,66,1.2071,1.2153,1.2065,1.2124,1,31
WMH11,2011Mar,2011,3,1,2011,1,25,65,1.2174,1.2202,1.2103,1.2174,0,31
WMH11,2011Mar,2011,3,1,2011,1,26,64,1.2191,1.2201,1.2108,1.2127,4,31
WMH11,2011Mar,2011,3,1,2011,1,27,63,1.2161,1.2195,1.2021,1.2078,4,31
WMH11,2011Mar,2011,3,1,2011,1,28,62,1.2175,1.2175,1.2175,1.2175,1,32
WMH11,2011Mar,2011,3,1,2011,1,31,59,1.2196,1.2212,1.2171,1.2196,0,32
WMH11,2011Mar,2011,3,1,2011,2,1,58,1.2192,1.2299,1.2178,1.2285,13,33
WMH11,2011Mar,2011,3,1,2011,2,2,57,1.2287,1.2291,1.2256,1.2256,5,34
WMH11,2011Mar,2011,3,1,2011,2,3,56,1.2259,1.2285,1.2193,1.2251,13,44
WMH11,2011Mar,2011,3,1,2011,2,4,55,1.2202,1.2279,1.2131,1.2162,7,44
WMH11,2011Mar,2011,3,1,2011,2,7,52,1.2154,1.2172,1.213,1.2153,67,31
WMH11,2011Mar,2011,3,1,2011,2,8,51,1.2155,1.2231,1.2137,1.2137,189,84
WMH11,2011Mar,2011,3,1,2011,2,9,50,1.2132,1.2166,1.21,1.2142,162,84
WMH11,2011Mar,2011,3,1,2011,2,10,49,1.2136,1.2144,1.1998,1.2003,364,80
WMH11,2011Mar,2011,3,1,2011,2,11,48,1.2002,1.2014,1.1955,1.1979,98,106
WMH11,2011Mar,2011,3,1,2011,2,14,45,1.2009,1.2036,1.198,1.2004,41,116
WMH11,2011Mar,2011,3,1,2011,2,15,44,1.1999,1.202,1.192,1.1931,372,172
WMH11,2011Mar,2011,3,1,2011,2,16,43,1.195,1.1977,1.1911,1.197,346,79
WMH11,2011Mar,2011,3,1,2011,2,17,42,1.1963,1.2026,1.1941,1.2,1730,887
WMH11,2011Mar,2011,3,1,2011,2,18,41,1.2009999999999998,1.2045,1.1974,1.2032,640,797
